species.watershed,Watershed_name,Genus_spp,numyears,percyears,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
desmod_illin.1D,1D,desmod_illin,31,0.77,0.06934084351022943,0.9375,0.6,0.06607865080611015,8,0,Random
dichan_oligo.1D,1D,dichan_oligo,31,1,0.028802456421696293,0.375,0,NA,1,-1,Decreasing
dichan_ovale.1D,1D,dichan_ovale,31,1,0.4938029646320821,0.125,0,1.3755538820213215e-6,1,0,Recurrent
digita_cogna.1D,1D,digita_cogna,31,0.22999999999999998,0.9999999999999998,0.25,0.2,0.02087276352945389,7,0,Recurrent
echina_angus.1D,1D,echina_angus,31,0.22999999999999998,0.01307691769989149,0.4375,0,NA,5,-1,Decreasing
eragro_spect.1D,1D,eragro_spect,31,1,0.24735482306428383,0.1875,0,0.003387153153070865,3,0,Recurrent
eriger_strig.1D,1D,eriger_strig,31,0.97,0.9999999999999999,0.9375,1,0.6035755086858975,2,0,Random
euphor_serpe.1D,1D,euphor_serpe,31,0.13,0.12381749876088588,0.25,0,3.755965225892386e-4,3,0,Recurrent
gerani_carol.1D,1D,gerani_carol,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
koeler_macra.1D,1D,koeler_macra,31,0.94,0.12381749876088588,0.25,0,3.755965225892386e-4,3,0,Recurrent
lesped_capit.1D,1D,lesped_capit,31,1,0.9999999999999996,0.125,0.06666666666666667,0.31941274011236676,5,0,Random
lesped_viola.1D,1D,lesped_viola,31,1,0.33875884132344075,0.125,0.3333333333333333,0.02087276352945389,7,0,Recurrent
mimosa_quadr.1D,1D,mimosa_quadr,31,1,0.30337022879060743,0.4375,0.2,0.002972599617536712,7,0,Recurrent
muhlen_cuspi.1D,1D,muhlen_cuspi,31,0.06000000000000005,NA,NA,NA,NA,3,NA,Rare
oxalis_stric.1D,1D,oxalis_stric,31,0.29000000000000004,0.14193493503497973,0.4375,0.13333333333333333,2.582679536782227e-4,5,0,Recurrent
packer_platt.1D,1D,packer_platt,31,0.35,0.03399119546863185,0.5625,0.13333333333333333,NA,9,-1,Decreasing
panicu_virga.1D,1D,panicu_virga,31,1,1.1727059450222468e-6,0.0625,1,NA,1,1,Increasing
pediom_argop.1D,1D,pediom_argop,31,1,0.03399119546863185,0.5625,0.13333333333333333,NA,3,-1,Decreasing
pediom_escul.1D,1D,pediom_escul,31,1,NA,NA,NA,NA,0,NA,Invariant
pediom_tenui.1D,1D,pediom_tenui,31,0.77,0.01307691769989149,0.5625,1,NA,4,1,Increasing
physal_pumil.1D,1D,physal_pumil,31,1,0.24735482306428383,0.1875,0,0.003387153153070865,3,0,Recurrent
ratibi_colum.1D,1D,ratibi_colum,31,0.84,0.04204028171591283,1,0.6666666666666666,NA,3,-1,Decreasing
rosa_arkan.1D,1D,rosa_arkan,31,0.94,0.005769340530798479,0.6875,0.13333333333333333,NA,9,-1,Decreasing
ruelli_humil.1D,1D,ruelli_humil,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
salvia_azure.1D,1D,salvia_azure,31,1,0.20250799155863133,1,0.8,6.487325970637214e-5,2,0,Recurrent
schiza_scopa.1D,1D,schiza_scopa,31,1,0.9530952817995972,0.9375,0.8666666666666667,0.31941274011236676,5,0,Random
sisyri_campe.1D,1D,sisyri_campe,31,0.84,0.2909855017348392,0.9375,0.7333333333333333,0.8691420224364163,10,0,Random
solanu_carol.1D,1D,solanu_carol,31,0.5800000000000001,0.005769340530798479,0.3125,0.8666666666666667,NA,10,1,Increasing
solida_altis.1D,1D,solida_altis,31,1,0.8430306226434657,0.5,0.6,0.024103603129656936,10,0,Recurrent
solida_misso.1D,1D,solida_misso,31,0.97,0.5450438219949827,0.0625,0.2,0.005854677406542337,4,0,Recurrent
solida_rigid.1D,1D,solida_rigid,31,0.06000000000000005,NA,NA,NA,NA,1,NA,Rare
sorgha_nutan.1D,1D,sorgha_nutan,31,1,0.43618286861823546,1,0.8666666666666667,0.6704940806325976,4,0,Random
sporob_compo.1D,1D,sporob_compo,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
sporob_heter.1D,1D,sporob_heter,31,0.97,0.8430306226434657,0.5,0.6,0.054069791766971596,11,0,Random
stroph_leios.1D,1D,stroph_leios,31,0.44999999999999996,0.0020235205040745256,0.75,0.13333333333333333,NA,7,-1,Decreasing
sympho_orbic.1D,1D,sympho_orbic,31,0.65,0.10193077872193111,0.8125,0.4666666666666667,1.1673453395695353e-4,5,0,Recurrent
symphy_erico.1D,1D,symphy_erico,31,1,0.028802456421696293,0.375,0,NA,3,-1,Decreasing
symphy_oblon.1D,1D,symphy_oblon,31,0.97,0.6001627353234458,0.625,0.4666666666666667,0.0033299480393728822,8,0,Recurrent
symphy_seric.1D,1D,symphy_seric,31,0.97,0.9738274065893568,1,0.9333333333333333,0.6035755086858975,2,0,Random
tragia_beton.1D,1D,tragia_beton,31,0.74,0.7605990847392358,0.6875,0.8,0.1835045895181674,10,0,Random
verben_stric.1D,1D,verben_stric,31,0.87,0.09348810510448448,1,0.7333333333333333,0.047322364103480605,5,0,Recurrent
vernon_baldw.1D,1D,vernon_baldw,31,1,0.9999999999999997,0.3125,0.26666666666666666,0.21407180937964346,11,0,Random
viola_nephr.1D,1D,viola_nephr,31,0.35,0.004087560306914374,0.625,0.06666666666666667,NA,13,-1,Decreasing
viola_pedat.1D,1D,viola_pedat,31,0.77,0.33875884132344075,0.875,0.6666666666666666,0.02087276352945389,7,0,Recurrent
acalyp_virgi.20B,20B,acalyp_virgi,31,0.77,0.9999999999999998,0.75,0.8,0.7310353554048772,12,0,Random
achill_mille.20B,20B,achill_mille,31,1,0.028802456421696293,0.375,0,NA,4,-1,Decreasing
agrost_hyema.20B,20B,agrost_hyema,31,0.26,0.6053967742246604,0.1875,0.3333333333333333,0.7069046721869776,13,0,Random
ambros_psilo.20B,20B,ambros_psilo,31,1,0.6001627353234458,0.625,0.4666666666666667,0.024103603129656936,10,0,Recurrent
amorph_canes.20B,20B,amorph_canes,31,1,0.43618286861823546,1,0.8666666666666667,0.6704940806325976,4,0,Random
androp_gerar.20B,20B,androp_gerar,31,1,0.005627304907732369,0.5,0,NA,4,-1,Decreasing
antenn_negle.20B,20B,antenn_negle,31,0.42000000000000004,0.0421253835255355,0.625,0.2,NA,10,-1,Decreasing
apocyn_canna.20B,20B,apocyn_canna,31,0.5800000000000001,6.105499724505564e-6,1,0.13333333333333333,NA,3,-1,Decreasing
argemo_polya.20B,20B,argemo_polya,31,0.16000000000000003,0.0607219234556129,0.3125,0,8.89012572017322e-5,3,0,Recurrent
arnogl_plant.20B,20B,arnogl_plant,31,0.09999999999999998,NA,NA,NA,NA,3,NA,Rare
artemi_ludov.20B,20B,artemi_ludov,31,1,0.9999999999999998,0.9375,0.9333333333333333,0.001447721282176437,2,0,Recurrent
asclep_steno.20B,20B,asclep_steno,31,0.71,0.9084960462271647,0.75,0.6666666666666666,0.9251620124982283,16,0,Random
asclep_syria.20B,20B,asclep_syria,31,0.94,8.508286324362016e-4,0.625,0,NA,5,-1,Decreasing
asclep_verti.20B,20B,asclep_verti,31,1,NA,NA,NA,NA,0,NA,Invariant
asclep_virdf.20B,20B,asclep_virdf,31,0.71,0.012764441573415098,0.9375,0.4666666666666667,NA,7,-1,Decreasing
asclep_virds.20B,20B,asclep_virds,31,0.94,0.5648742938932729,0.5,0.3333333333333333,0.06200509991426033,11,0,Random
baptis_austr.20B,20B,baptis_austr,31,1,0.87862332033474,0.625,0.5333333333333333,0.3402466398459586,14,0,Random
baptis_bract.20B,20B,baptis_bract,31,1,0.3574664672997162,0.5625,0.3333333333333333,0.0010269894884793185,7,0,Recurrent
boutel_curti.20B,20B,boutel_curti,31,1,0.640592006524916,0.1875,0.06666666666666667,3.755965225892386e-4,3,0,Recurrent
boutel_graci.20B,20B,boutel_graci,31,0.09999999999999998,NA,NA,NA,NA,5,NA,Rare
bricke_eupat.20B,20B,bricke_eupat,31,1,2.918006686601915e-4,0.6875,0,NA,3,-1,Decreasing
bromus_arven.20B,20B,bromus_arven,31,0.31999999999999995,0.9999999999999997,0.3125,0.3333333333333333,0.06803654079943228,10,0,Random
callir_invol.20B,20B,callir_invol,31,0.61,0.006424433886882116,0.875,0.3333333333333333,NA,9,-1,Decreasing
carex_brevi.20B,20B,carex_brevi,31,0.9,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
carex_inops.20B,20B,carex_inops,31,0.9,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
carex_meadi.20B,20B,carex_meadi,31,0.97,0.9999999999999999,0.9375,1,0.6035755086858975,2,0,Random
ceanot_herba.20B,20B,ceanot_herba,31,1,0.019726940183490724,0.75,0.26666666666666666,NA,7,-1,Decreasing
cirsiu_altis.20B,20B,cirsiu_altis,31,1,0.20178086785522442,0.3125,0.06666666666666667,3.288173608173529e-5,3,0,Recurrent
cirsiu_undul.20B,20B,cirsiu_undul,31,0.35,2.918006686601915e-4,0.6875,0,NA,1,-1,Decreasing
conyza_canad.20B,20B,conyza_canad,31,0.55,0.3574664672997162,0.4375,0.6666666666666666,0.054069791766971596,11,0,Random
cornus_drumm.20B,20B,cornus_drumm,31,1,6.105499724505564e-6,0,0.8666666666666667,NA,1,1,Increasing
coryda_micra.20B,20B,coryda_micra,31,0.09999999999999998,NA,NA,NA,NA,5,NA,Rare
croton_monan.20B,20B,croton_monan,31,0.74,0.05148761028667245,0.5625,0.9333333333333333,0.002322345759658203,6,0,Recurrent
dalea_candi.20B,20B,dalea_candi,31,0.77,0.33875884132344075,0.875,0.6666666666666666,0.7310353554048772,12,0,Random
dalea_purpu.20B,20B,dalea_purpu,31,0.97,0.4938029646320821,0.125,0,0.6704940806325976,4,0,Random
delphi_carol.20B,20B,delphi_carol,31,0.71,0.012764441573415098,0.9375,0.4666666666666667,NA,8,-1,Decreasing
descur_pinna.20B,20B,descur_pinna,31,0.26,0.05148761028667245,0.4375,0.06666666666666667,0.009423484253754045,7,0,Recurrent
desmod_illin.20B,20B,desmod_illin,31,0.97,0.005627304907732369,0.5,0,NA,3,-1,Decreasing
dichan_oligo.20B,20B,dichan_oligo,31,1,1,0.125,0.13333333333333333,0.005854677406542337,4,0,Recurrent
dichan_ovale.20B,20B,dichan_ovale,31,0.87,0.7137617291360441,0.25,0.13333333333333333,0.013974368446475812,6,0,Recurrent
digita_cogna.20B,20B,digita_cogna,31,0.48,0.10688976489998328,0.3125,0.6666666666666666,0.050507376866251494,11,0,Random
draba_cunei.20B,20B,draba_cunei,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
echina_angus.20B,20B,echina_angus,31,0.9,0.20250799155863133,1,0.8,0.003387153153070865,3,0,Recurrent
eleoch_compr.20B,20B,eleoch_compr,31,1,0.0020235205040745256,0.75,0.13333333333333333,NA,7,-1,Decreasing
elymus_canad.20B,20B,elymus_canad,31,1,0.4938029646320821,0.125,0,1.3755538820213215e-6,1,0,Recurrent
eragro_spect.20B,20B,eragro_spect,31,0.61,0.8211111546026745,0.5625,0.6666666666666666,0.25481427188414496,13,0,Random
eriger_strig.20B,20B,eriger_strig,31,0.31999999999999995,0.30337022879060743,0.4375,0.2,0.1421962667157867,11,0,Random
euphor_denta.20B,20B,euphor_denta,31,0.6799999999999999,0.010261748444302629,0.4375,0.9333333333333333,NA,8,1,Increasing
euphor_margi.20B,20B,euphor_margi,31,1,NA,NA,NA,NA,0,NA,Invariant
euphor_spath.20B,20B,euphor_spath,31,1,NA,NA,NA,NA,0,NA,Invariant
galium_apari.20B,20B,galium_apari,31,0.65,0.5366545109001994,0.5625,0.7333333333333333,0.006587846048527602,8,0,Recurrent
gerani_carol.20B,20B,gerani_carol,31,0.22999999999999998,0.9999999999999998,0.25,0.2,0.005137313835460302,6,0,Recurrent
hierac_longi.20B,20B,hierac_longi,31,0.61,0.8211111546026745,0.5625,0.6666666666666666,0.013825547448709034,9,0,Recurrent
koeler_macra.20B,20B,koeler_macra,31,0.9,0.9999999999999996,0.875,0.9333333333333333,0.7421078985573584,6,0,Random
kummer_stipu.20B,20B,kummer_stipu,31,0.06000000000000005,NA,NA,NA,NA,3,NA,Rare
lactuc_ludov.20B,20B,lactuc_ludov,31,0.35,0.17099051982691332,0.5,0.2,0.1005847808801987,11,0,Random
lactuc_serri.20B,20B,lactuc_serri,31,0.5800000000000001,0.019402368747087714,0.8125,0.3333333333333333,NA,9,-1,Decreasing
lepidi_densi.20B,20B,lepidi_densi,31,0.31999999999999995,0.07216789010665725,0.5,0.13333333333333333,0.40890539535182613,13,0,Random
lesped_capit.20B,20B,lesped_capit,31,1,0.24735482306428383,0.1875,0,0.003387153153070865,3,0,Recurrent
lesped_viola.20B,20B,lesped_viola,31,1,9.026264971155701e-5,0.75,0,NA,3,-1,Decreasing
linum_sulca.20B,20B,linum_sulca,31,0.9,0.9530952817995972,0.9375,0.8666666666666667,0.7421078985573584,6,0,Random
lithos_incis.20B,20B,lithos_incis,31,0.35,0.3764715139211589,0.25,0.4666666666666667,0.1899789731215372,12,0,Random
lomati_foeni.20B,20B,lomati_foeni,31,0.42000000000000004,4.849363404255556e-4,0.75,0.06666666666666667,NA,7,-1,Decreasing
mimosa_quadr.20B,20B,mimosa_quadr,31,0.97,0.9999999999999999,0.8125,0.8666666666666667,0.04834969544775515,6,0,Recurrent
mirabi_linea.20B,20B,mirabi_linea,31,0.09999999999999998,NA,NA,NA,NA,3,NA,Rare
muhlen_cuspi.20B,20B,muhlen_cuspi,31,0.94,0.019726940183490724,0.75,0.26666666666666666,NA,11,-1,Decreasing
oenoth_bienn.20B,20B,oenoth_bienn,31,0.030000000000000027,NA,NA,NA,NA,1,NA,Rare
oxalis_stric.20B,20B,oxalis_stric,31,0.65,0.016999777502603453,0.875,0.4,NA,5,-1,Decreasing
oxalis_viola.20B,20B,oxalis_viola,31,0.52,0.10688976489998328,0.6875,0.3333333333333333,0.050507376866251494,11,0,Random
packer_platt.20B,20B,packer_platt,31,0.16000000000000003,0.0607219234556129,0.3125,0,8.89012572017322e-5,3,0,Recurrent
panicu_virga.20B,20B,panicu_virga,31,1,1,0.375,0.3333333333333333,0.01882099292415999,9,0,Recurrent
pediom_escul.20B,20B,pediom_escul,31,0.52,1.6335193877090986e-4,0.875,0.13333333333333333,NA,7,-1,Decreasing
pediom_tenui.20B,20B,pediom_tenui,31,0.06000000000000005,NA,NA,NA,NA,3,NA,Rare
physal_pumil.20B,20B,physal_pumil,31,1,2.918006686601915e-4,0.6875,0,NA,5,-1,Decreasing
poa_prate.20B,20B,poa_prate,31,1,0.10478287613147351,0.625,0.9333333333333333,9.779564656475287e-4,5,0,Recurrent
prunus_ameri.20B,20B,prunus_ameri,31,1,0.0014853753815634292,0.6875,0.06666666666666667,NA,6,-1,Decreasing
ratibi_colum.20B,20B,ratibi_colum,31,0.55,0.9999999999999997,0.5625,0.5333333333333333,0.30859572413020586,14,0,Random
rhus_aroma.20B,20B,rhus_aroma,31,0.74,0.10050954088451342,0.625,0.26666666666666666,0.024103603129656936,10,0,Recurrent
rhus_glabr.20B,20B,rhus_glabr,31,1,0.6001627353234458,0.625,0.4666666666666667,0.054069791766971596,11,0,Random
rosa_arkan.20B,20B,rosa_arkan,31,1,1.4801804780535321e-4,0.9375,0.2,NA,3,-1,Decreasing
rubus_pensi.20B,20B,rubus_pensi,31,1,0.08941437300482474,0.125,0.4666666666666667,0.016495127877457202,8,0,Recurrent
ruelli_humil.20B,20B,ruelli_humil,31,1,0.10193077872193111,0.8125,0.4666666666666667,0.01882099292415999,9,0,Recurrent
salvia_azure.20B,20B,salvia_azure,31,1,0.0020235205040745256,0.75,0.13333333333333333,NA,7,-1,Decreasing
schiza_scopa.20B,20B,schiza_scopa,31,1,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
silene_antir.20B,20B,silene_antir,31,0.22999999999999998,0.10478287613147351,0.375,0.06666666666666667,0.5340872265296414,11,0,Random
solanu_carol.20B,20B,solanu_carol,31,1,0.01307691769989149,0.4375,0,NA,4,-1,Decreasing
solida_altis.20B,20B,solida_altis,31,1,0.0068781768234081634,0.75,0.2,NA,6,-1,Decreasing
solida_misso.20B,20B,solida_misso,31,1,0.2909855017348392,0.9375,0.7333333333333333,0.001133670762583116,4,0,Recurrent
solida_rigid.20B,20B,solida_rigid,31,0.87,9.026264971155701e-5,0.75,0,NA,6,-1,Decreasing
sorgha_nutan.20B,20B,sorgha_nutan,31,1,0.36455732638706395,0.8125,0.6,0.001241434005125989,6,0,Recurrent
sparti_pecti.20B,20B,sparti_pecti,31,0.81,0.20151722122503768,0.8125,0.5333333333333333,0.009884131621000238,8,0,Recurrent
spermo_inerm.20B,20B,spermo_inerm,31,0.35,0.5366545109001994,0.4375,0.26666666666666666,0.8693428225672091,17,0,Random
spheno_obtus.20B,20B,spheno_obtus,31,0.9,0.9530952817995972,0.9375,0.8666666666666667,0.0560820490128325,4,0,Random
sporob_compo.20B,20B,sporob_compo,31,1,1.9070231506884455e-7,1,0,NA,1,-1,Decreasing
sporob_heter.20B,20B,sporob_heter,31,1,0.9999999999999998,0.0625,0.06666666666666667,0.10227869721951265,3,0,Random
sympho_orbic.20B,20B,sympho_orbic,31,1,0.12381749876088588,0.25,0,3.755965225892386e-4,3,0,Recurrent
symphy_erico.20B,20B,symphy_erico,31,1,5.8669510429744606e-6,0.875,0,NA,1,-1,Decreasing
symphy_oblon.20B,20B,symphy_oblon,31,1,0.10478287613147351,0.375,0.06666666666666667,0.005137313835460302,6,0,Recurrent
symphy_seric.20B,20B,symphy_seric,31,0.97,0.02379624189979081,0.5,0.06666666666666667,NA,6,-1,Decreasing
tragia_beton.20B,20B,tragia_beton,31,0.9,0.640592006524916,0.1875,0.06666666666666667,0.047322364103480605,5,0,Recurrent
tragop_dubiu.20B,20B,tragop_dubiu,31,0.71,0.012764441573415098,0.9375,0.4666666666666667,NA,11,-1,Decreasing
trioda_lepto.20B,20B,trioda_lepto,31,0.18999999999999995,0.028802456421696293,0.375,0,NA,5,-1,Decreasing
trioda_perfo.20B,20B,trioda_perfo,31,0.42000000000000004,0.19225130462178386,0.5625,0.26666666666666666,0.06200509991426033,11,0,Random
ulmus_ameri.20B,20B,ulmus_ameri,31,0.9,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
vernon_baldw.20B,20B,vernon_baldw,31,1,0.028802456421696293,0.375,0,NA,3,-1,Decreasing
vicia_ameri.20B,20B,vicia_ameri,31,0.26,0.005627304907732369,0.5,0,NA,3,-1,Decreasing
viola_bicol.20B,20B,viola_bicol,31,0.48,0.2061056896922602,0.625,0.3333333333333333,0.008859362878385164,9,0,Recurrent
vulpia_octof.20B,20B,vulpia_octof,31,0.09999999999999998,NA,NA,NA,NA,3,NA,Rare
acalyp_virgi.4A,4A,acalyp_virgi,31,0.5800000000000001,0.005769340530798479,0.3125,0.8666666666666667,NA,8,1,Increasing
achill_mille.4A,4A,achill_mille,31,1,0.4938029646320821,0.125,0,0.6704940806325976,4,0,Random
ambros_psilo.4A,4A,ambros_psilo,31,1,0.8211111546026745,0.5625,0.6666666666666666,0.03464647108891813,10,0,Recurrent
amorph_canes.4A,4A,amorph_canes,31,1,0.9738274065893568,1,0.9333333333333333,0.6035755086858975,2,0,Random
androp_gerar.4A,4A,androp_gerar,31,1,0.04074992922062589,0.125,0.5333333333333333,NA,12,1,Increasing
antenn_negle.4A,4A,antenn_negle,31,0.87,0.09348810510448448,1,0.7333333333333333,0.2055398893616577,6,0,Random
apocyn_canna.4A,4A,apocyn_canna,31,0.39,0.8211111546026745,0.4375,0.3333333333333333,0.03464647108891813,10,0,Recurrent
artemi_ludov.4A,4A,artemi_ludov,31,1,0.9999999999999999,0.8125,0.8666666666666667,0.39382529300283187,8,0,Random
asclep_steno.4A,4A,asclep_steno,31,0.9,0.24735482306428383,0.8125,1,0.0560820490128325,4,0,Random
asclep_syria.4A,4A,asclep_syria,31,0.55,0.21263539028863307,0.6875,0.4,6.668107949821501e-5,5,0,Recurrent
asclep_tuber.4A,4A,asclep_tuber,31,1,0.9999999999999999,0.1875,0.13333333333333333,0.001133670762583116,4,0,Recurrent
asclep_verti.4A,4A,asclep_verti,31,1,0.24735482306428383,0.1875,0,3.7850061085042235e-7,1,0,Recurrent
asclep_virdf.4A,4A,asclep_virdf,31,1,NA,NA,NA,NA,0,NA,Invariant
asclep_virds.4A,4A,asclep_virds,31,1,0.9999999999999997,0.3125,0.26666666666666666,0.36476061845825736,12,0,Random
baptis_austr.4A,4A,baptis_austr,31,1,0.4457475743700233,0.3125,0.13333333333333333,0.5340872265296414,11,0,Random
boutel_curti.4A,4A,boutel_curti,31,1,0.0421253835255355,0.625,0.2,NA,14,-1,Decreasing
boutel_dacty.4A,4A,boutel_dacty,31,0.29000000000000004,0.0022718372541295786,0.5625,0,NA,1,-1,Decreasing
boutel_graci.4A,4A,boutel_graci,31,0.9,0.0022718372541295786,0.5625,0,NA,3,-1,Decreasing
boutel_hirsu.4A,4A,boutel_hirsu,31,0.35,2.918006686601915e-4,0.6875,0,NA,3,-1,Decreasing
bricke_eupat.4A,4A,bricke_eupat,31,1,0.0607219234556129,0.3125,0,8.89012572017322e-5,3,0,Recurrent
callir_invol.4A,4A,callir_invol,31,0.26,0.2601470231694908,0.375,0.13333333333333333,0.3372652476132434,11,0,Random
carex_brevi.4A,4A,carex_brevi,31,0.9,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
carex_inops.4A,4A,carex_inops,31,0.84,0.17099051982691332,0.5,0.2,5.199739114152767e-4,6,0,Recurrent
carex_meadi.4A,4A,carex_meadi,31,0.94,0.19225130462178386,0.4375,0.7333333333333333,0.06200509991426033,11,0,Random
ceanot_herba.4A,4A,ceanot_herba,31,1,0.0022718372541295786,0.5625,0,NA,6,-1,Decreasing
cirsiu_undul.4A,4A,cirsiu_undul,31,0.94,0.9999999999999999,0.1875,0.13333333333333333,0.04834969544775515,6,0,Recurrent
comand_umbel.4A,4A,comand_umbel,31,0.84,0.937189201292317,0.875,0.8,0.39382529300283187,8,0,Random
cornus_drumm.4A,4A,cornus_drumm,31,1,2.472741684565855e-5,0.1875,1,NA,1,1,Increasing
croton_monan.4A,4A,croton_monan,31,0.55,0.007129770985317564,0.8125,0.26666666666666666,NA,9,-1,Decreasing
cyperu_lupul.4A,4A,cyperu_lupul,31,0.42000000000000004,0.9999999999999997,0.4375,0.4,0.12247532584905108,12,0,Random
dalea_candi.4A,4A,dalea_candi,31,0.97,0.4938029646320821,0.125,0,0.001447721282176437,2,0,Recurrent
dalea_multi.4A,4A,dalea_multi,31,0.35,2.918006686601915e-4,0.6875,0,NA,3,-1,Decreasing
dalea_purpu.4A,4A,dalea_purpu,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
delphi_carol.4A,4A,delphi_carol,31,0.5800000000000001,0.37829294350114534,0.6875,0.4666666666666667,0.4855078522617498,15,0,Random
desmod_illin.4A,4A,desmod_illin,31,0.13,0.5450438219949827,0.0625,0.2,0.047322364103480605,5,0,Recurrent
desmod_sessi.4A,4A,desmod_sessi,31,0.52,0.8618712493148953,0.5625,0.4666666666666667,1.3335750775849813e-5,4,0,Recurrent
dichan_oligo.4A,4A,dichan_oligo,31,1,0.5856318386342959,0.5625,0.4,0.022444185600620135,10,0,Recurrent
dichan_ovale.4A,4A,dichan_ovale,31,1,0.9999999999999997,0.4375,0.4666666666666667,0.4479236087054436,15,0,Random
digita_cogna.4A,4A,digita_cogna,31,0.71,0.49850501549688025,0.625,0.8,0.04593720463553858,9,0,Recurrent
elymus_canad.4A,4A,elymus_canad,31,1,0.4938029646320821,0.125,0,0.001447721282176437,2,0,Recurrent
eragro_spect.4A,4A,eragro_spect,31,0.97,0.24735482306428383,0.1875,0,6.487325970637214e-5,2,0,Recurrent
eriger_strig.4A,4A,eriger_strig,31,0.94,0.43618286861823546,1,0.8666666666666667,0.6704940806325976,4,0,Random
