"","baseline.Watershed1","baseline.Year1","Watershed_name","baseline.Year2","baseline.jaccard_diss","baseline.gower_diss"
"78","4A",1992,"4A",2007,0.396551724137931,0.116614718614719
"79","4A",1992,"4A",2008,0.36036036036036,0.100830835830836
"80","4A",1992,"4A",2009,0.401785714285714,0.1149333999334
"81","4A",1992,"4A",2010,0.385964912280702,0.119907758907759
"82","4A",1992,"4A",2011,0.403669724770642,0.107413253413253
"83","4A",1992,"4A",2012,0.392523364485981,0.0994498834498834
"84","4A",1992,"4A",2013,0.342342342342342,0.0928481518481518
"85","4A",1992,"4A",2014,0.371681415929204,0.114944721944722
"86","4A",1992,"4A",2015,0.441666666666667,0.12118981018981
"87","4A",1992,"4A",2016,0.466666666666667,0.126753912753913
"88","4A",1992,"4A",2017,0.453125,0.12564035964036
"89","4A",1992,"4A",2018,0.425,0.115457209457209
"90","4A",1992,"4A",2019,0.4453125,0.129739260739261
"91","4A",1992,"4A",2020,0.44,0.120932178932179
"92","4A",1992,"4A",2021,0.436507936507937,0.125558552558553
"93","4A",1992,"4A",2022,0.441666666666667,0.122040737040737
"94","4B",1992,"4B",1992,0,0
"95","4B",1992,"4B",1993,0.365853658536585,0.139019647019647
"96","4B",1992,"4B",1994,0.372881355932203,0.106015984015984
"97","4B",1992,"4B",1995,0.347826086956522,0.100860805860806
"98","4B",1992,"4B",1996,0.318965517241379,0.0975714285714286
"99","4B",1992,"4B",1997,0.333333333333333,0.10689010989011
"100","4B",1992,"4B",1998,0.389830508474576,0.106283383283383
"101","4B",1992,"4B",1999,0.338582677165354,0.105658341658342
"102","4B",1992,"4B",2000,0.3984375,0.141283716283716
"103","4B",1992,"4B",2001,0.347107438016529,0.114493506493506
"104","4B",1992,"4B",2002,0.37719298245614,0.115421911421911
"105","4B",1992,"4B",2003,0.379310344827586,0.117007992007992
"106","4B",1992,"4B",2004,0.321428571428571,0.112325341325341
"107","4B",1992,"4B",2005,0.378378378378378,0.119513375513375
"108","4B",1992,"4B",2006,0.368852459016393,0.112618270618271
"109","4B",1992,"4B",2007,0.36283185840708,0.110677100677101
"110","4B",1992,"4B",2008,0.373913043478261,0.115746808746809
"111","4B",1992,"4B",2009,0.384615384615385,0.12313875013875
"112","4B",1992,"4B",2010,0.392857142857143,0.114411144411144
"113","4B",1992,"4B",2011,0.432432432432432,0.118182817182817
"114","4B",1992,"4B",2012,0.445454545454545,0.124425796425796
"115","4B",1992,"4B",2013,0.389830508474576,0.11753934953935
"116","4B",1992,"4B",2014,0.439655172413793,0.12156376956377
"117","4B",1992,"4B",2015,0.475409836065574,0.13613764013764
"118","4B",1992,"4B",2016,0.504132231404959,0.140181596181596
"119","4B",1992,"4B",2017,0.531746031746032,0.156901764901765
"120","4B",1992,"4B",2018,0.491666666666667,0.138503718503719
"121","4B",1992,"4B",2019,0.456,0.137975246975247
"122","4B",1992,"4B",2020,0.446280991735537,0.133136419136419
"123","4B",1992,"4B",2021,0.526315789473684,0.175680763680764
"124","4B",1992,"4B",2022,0.479674796747967,0.135083694083694
"125","N1B",1992,"N1B",1992,0,0
"126","N1B",1992,"N1B",1993,0.370689655172414,0.120637362637363
"127","N1B",1992,"N1B",1994,0.376068376068376,0.1153663003663
"128","N1B",1992,"N1B",1995,0.375,0.135930402930403
"129","N1B",1992,"N1B",1996,0.390625,0.146534798534799
"130","N1B",1992,"N1B",1997,0.3984375,0.158542124542125
"131","N1B",1992,"N1B",1998,0.362204724409449,0.153827838827839
"132","N1B",1992,"N1B",1999,0.443609022556391,0.172501831501832
"133","N1B",1992,"N1B",2000,0.425373134328358,0.170553113553114
"134","N1B",1992,"N1B",2001,0.418439716312057,0.173542124542125
"135","N1B",1992,"N1B",2002,0.458646616541353,0.177695970695971
"136","N1B",1992,"N1B",2003,0.426470588235294,0.169208791208791
"137","N1B",1992,"N1B",2004,0.440298507462687,0.169802197802198
"138","N1B",1992,"N1B",2005,0.4,0.167131868131868
"139","N1B",1992,"N1B",2006,0.421428571428571,0.170282051282051
"140","N1B",1992,"N1B",2007,0.411347517730496,0.168358974358974
"141","N1B",1992,"N1B",2008,0.471428571428571,0.182542124542125
"142","N1B",1992,"N1B",2009,0.458333333333333,0.18392673992674
"143","N1B",1992,"N1B",2010,0.432624113475177,0.178413919413919
"144","N1B",1992,"N1B",2011,0.463768115942029,0.171611721611722
"145","N1B",1992,"N1B",2012,0.45985401459854,0.178490842490843
"146","N1B",1992,"N1B",2013,0.464788732394366,0.179344322344322
"147","N1B",1992,"N1B",2014,0.423357664233577,0.170593406593407
"148","N1B",1992,"N1B",2015,0.48,0.195479853479854
"149","N1B",1992,"N1B",2016,0.487179487179487,0.209076923076923
"150","N1B",1992,"N1B",2017,0.516129032258065,0.209102564102564
"151","N1B",1992,"N1B",2018,0.525974025974026,0.218736263736264
"152","N1B",1992,"N1B",2019,0.49079754601227,0.213684981684982
"153","N1B",1992,"N1B",2020,0.511764705882353,0.232505494505495
"154","N1B",1992,"N1B",2021,0.520958083832335,0.218315018315018
"155","N1B",1992,"N1B",2022,0.502994011976048,0.213974358974359
"156","N20B",1992,"N20B",1992,0,0
"157","N20B",1992,"N20B",1993,0.489051094890511,0.16343956043956
"158","N20B",1992,"N20B",1994,0.471014492753623,0.142974358974359
"159","N20B",1992,"N20B",1995,0.485294117647059,0.158820512820513
"160","N20B",1992,"N20B",1996,0.510948905109489,0.175465201465201
"161","N20B",1992,"N20B",1997,0.410852713178295,0.127281052281052
"162","N20B",1992,"N20B",1998,0.435714285714286,0.145358974358974
"163","N20B",1992,"N20B",1999,0.460992907801418,0.150343323343323
"164","N20B",1992,"N20B",2000,0.549668874172185,0.18375357975358
"165","N20B",1992,"N20B",2001,0.533333333333333,0.161802197802198
"166","N20B",1992,"N20B",2002,0.533783783783784,0.160659673659674
"167","N20B",1992,"N20B",2003,0.479166666666667,0.147489843489843
"168","N20B",1992,"N20B",2004,0.520833333333333,0.157031968031968
"169","N20B",1992,"N20B",2005,0.54421768707483,0.162760905760906
"170","N20B",1992,"N20B",2006,0.535947712418301,0.173199467199467
"171","N20B",1992,"N20B",2007,0.533333333333333,0.161855144855145
"172","N20B",1992,"N20B",2008,0.571428571428572,0.173591408591409
"173","N20B",1992,"N20B",2009,0.559006211180124,0.187089577089577
"174","N20B",1992,"N20B",2010,0.576923076923077,0.182928404928405
"175","N20B",1992,"N20B",2011,0.54421768707483,0.165687867687868
"176","N20B",1992,"N20B",2012,0.546666666666667,0.175967698967699
"177","N20B",1992,"N20B",2013,0.58641975308642,0.187830835830836
"178","N20B",1992,"N20B",2014,0.571428571428572,0.179693972693973
"179","N20B",1992,"N20B",2015,0.597765363128492,0.217364302364302
"180","N20B",1992,"N20B",2016,0.654450261780105,0.245884448884449
"181","N20B",1992,"N20B",2017,0.628865979381443,0.235199467199467
"182","N20B",1992,"N20B",2018,0.614130434782609,0.234272727272727
"183","N20B",1992,"N20B",2019,0.622448979591837,0.251324009324009
"184","N20B",1992,"N20B",2020,0.643564356435644,0.263900543900544
"185","N20B",1992,"N20B",2021,0.671361502347418,0.295809967809968
"186","N20B",1992,"N20B",2022,0.647619047619048,0.277709845709846
"187","N4A",1992,"N4A",1992,0,0
"188","N4A",1992,"N4A",1993,0.416666666666667,0.130368964368964
"189","N4A",1992,"N4A",1994,0.387387387387387,0.0961208791208791
"190","N4A",1992,"N4A",1995,0.308411214953271,0.0917279387279387
"191","N4A",1992,"N4A",1996,0.336448598130841,0.0878158508158508
"192","N4A",1992,"N4A",1997,0.389830508474576,0.0952590742590742
"193","N4A",1992,"N4A",1998,0.353448275862069,0.0888891108891109
"194","N4A",1992,"N4A",1999,0.368852459016393,0.0949367299367299
"195","N4A",1992,"N4A",2000,0.425,0.1115337995338
"196","N4A",1992,"N4A",2001,0.408,0.114416583416583
"197","N4A",1992,"N4A",2002,0.408695652173913,0.10933966033966
"198","N4A",1992,"N4A",2003,0.420634920634921,0.112145521145521
"199","N4A",1992,"N4A",2004,0.395161290322581,0.105196803196803
"200","N4A",1992,"N4A",2005,0.409448818897638,0.106867132867133
"201","N4A",1992,"N4A",2006,0.419847328244275,0.115559440559441
"202","N4A",1992,"N4A",2007,0.410852713178295,0.103240759240759
"203","N4A",1992,"N4A",2008,0.415384615384615,0.10974358974359
"204","N4A",1992,"N4A",2009,0.417910447761194,0.117108891108891
"205","N4A",1992,"N4A",2010,0.468531468531468,0.135665667665668
"206","N4A",1992,"N4A",2011,0.4296875,0.112952713952714
"207","N4A",1992,"N4A",2012,0.398373983739837,0.103998001998002
"208","N4A",1992,"N4A",2013,0.437956204379562,0.126452214452214
"209","N4A",1992,"N4A",2014,0.423076923076923,0.112998001998002
"210","N4A",1992,"N4A",2015,0.47972972972973,0.143054168054168
"211","N4A",1992,"N4A",2016,0.493506493506494,0.152430125430125
"212","N4A",1992,"N4A",2017,0.5,0.143427794427794
"213","N4A",1992,"N4A",2018,0.490322580645161,0.153145743145743
"214","N4A",1992,"N4A",2019,0.50920245398773,0.167676878676879
"215","N4A",1992,"N4A",2020,0.551136363636364,0.203574314574315
"216","N4A",1992,"N4A",2021,0.552325581395349,0.189955266955267
"217","N4A",1992,"N4A",2022,0.536144578313253,0.182347208347208
"218","N4D",1992,"N4D",1992,0,0
"219","N4D",1992,"N4D",1993,0.276923076923077,0.116717948717949
"220","N4D",1992,"N4D",1994,0.345588235294118,0.153919413919414
"221","N4D",1992,"N4D",1995,0.321167883211679,0.140311355311355
"222","N4D",1992,"N4D",1996,0.257352941176471,0.108316239316239
"223","N4D",1992,"N4D",1997,0.321428571428571,0.119913308913309
"224","N4D",1992,"N4D",1998,0.292857142857143,0.132113553113553
"225","N4D",1992,"N4D",1999,0.340136054421769,0.14131635031635
"226","N4D",1992,"N4D",2000,0.316546762589928,0.134474192474192
"227","N4D",1992,"N4D",2001,0.385135135135135,0.16008325008325
"228","N4D",1992,"N4D",2002,0.317567567567568,0.133188478188478
"229","N4D",1992,"N4D",2003,0.34,0.145682983682984
"230","N4D",1992,"N4D",2004,0.350993377483444,0.145192141192141
"231","N4D",1992,"N4D",2005,0.370860927152318,0.156554778554779
"232","N4D",1992,"N4D",2006,0.367088607594937,0.160879564879565
"233","N4D",1992,"N4D",2007,0.337662337662338,0.155542568542569
"234","N4D",1992,"N4D",2008,0.359477124183007,0.155834387834388
"235","N4D",1992,"N4D",2009,0.37012987012987,0.163024864024864
"236","N4D",1992,"N4D",2010,0.37888198757764,0.160035853035853
"237","N4D",1992,"N4D",2011,0.36734693877551,0.147151737151737
"238","N4D",1992,"N4D",2012,0.377622377622378,0.148047841047841
"239","N4D",1992,"N4D",2013,0.38562091503268,0.164013653013653
"240","N4D",1992,"N4D",2014,0.411392405063291,0.180314019314019
"241","N4D",1992,"N4D",2015,0.445714285714286,0.194480075480076
"242","N4D",1992,"N4D",2016,0.448863636363636,0.195960927960928
"243","N4D",1992,"N4D",2017,0.478494623655914,0.223001221001221
"244","N4D",1992,"N4D",2018,0.457894736842105,0.218106449106449
"245","N4D",1992,"N4D",2019,0.434782608695652,0.196304251304251
"246","N4D",1992,"N4D",2020,0.462365591397849,0.217482517482518
"247","N4D",1992,"N4D",2021,0.494791666666667,0.230652236652237
"248","N4D",1992,"N4D",2022,0.465608465608466,0.218450771450771
