"","Watershed_name","Recyear","Richness"
"95","4B",1993,100
"96","4B",1994,91
"97","4B",1995,89
"98","4B",1996,94
"99","4B",1997,94
"100","4B",1998,89
"101","4B",1999,110
"102","4B",2000,104
"103","4B",2001,99
"104","4B",2002,84
"105","4B",2003,87
"106","4B",2004,87
"107","4B",2005,79
"108","4B",2006,98
"109","4B",2007,84
"110","4B",2008,86
"111","4B",2009,88
"112","4B",2010,79
"113","4B",2011,73
"114","4B",2012,70
"115","4B",2013,89
"116","4B",2014,80
"117","4B",2015,85
"118","4B",2016,80
"119","4B",2017,84
"120","4B",2018,80
"121","4B",2019,92
"122","4B",2020,87
"123","4B",2021,95
"124","4B",2022,86
"125","N1B",1992,107
"126","N1B",1993,82
"127","N1B",1994,83
"128","N1B",1995,101
"129","N1B",1996,99
"130","N1B",1997,98
"131","N1B",1998,101
"132","N1B",1999,100
"133","N1B",2000,104
"134","N1B",2001,116
"135","N1B",2002,98
"136","N1B",2003,107
"137","N1B",2004,102
"138","N1B",2005,109
"139","N1B",2006,114
"140","N1B",2007,117
"141","N1B",2008,107
"142","N1B",2009,115
"143","N1B",2010,114
"144","N1B",2011,105
"145","N1B",2012,104
"146","N1B",2013,111
"147","N1B",2014,109
"148","N1B",2015,121
"149","N1B",2016,129
"150","N1B",2017,123
"151","N1B",2018,120
"152","N1B",2019,139
"153","N1B",2020,146
"154","N1B",2021,140
"155","N1B",2022,143
"156","N20B",1992,84
"157","N20B",1993,123
"158","N20B",1994,127
"159","N20B",1995,122
"160","N20B",1996,120
"161","N20B",1997,121
"162","N20B",1998,135
"163","N20B",1999,133
"164","N20B",2000,135
"165","N20B",2001,136
"166","N20B",2002,133
"167","N20B",2003,135
"168","N20B",2004,129
"169","N20B",2005,130
"170","N20B",2006,140
"171","N20B",2007,136
"172","N20B",2008,136
"173","N20B",2009,148
"174","N20B",2010,138
"175","N20B",2011,130
"176","N20B",2012,134
"177","N20B",2013,145
"178","N20B",2014,136
"179","N20B",2015,167
"180","N20B",2016,173
"181","N20B",2017,182
"182","N20B",2018,171
"183","N20B",2019,186
"184","N20B",2020,190
"185","N20B",2021,199
"186","N20B",2022,200
"187","N4A",1992,86
"188","N4A",1993,104
"189","N4A",1994,93
"190","N4A",1995,95
"191","N4A",1996,92
"192","N4A",1997,104
"193","N4A",1998,105
"194","N4A",1999,113
"195","N4A",2000,103
"196","N4A",2001,113
"197","N4A",2002,97
"198","N4A",2003,113
"199","N4A",2004,113
"200","N4A",2005,116
"201","N4A",2006,121
"202","N4A",2007,119
"203","N4A",2008,120
"204","N4A",2009,126
"205","N4A",2010,133
"206","N4A",2011,115
"207","N4A",2012,111
"208","N4A",2013,128
"209","N4A",2014,119
"210","N4A",2015,139
"211","N4A",2016,146
"212","N4A",2017,145
"213","N4A",2018,148
"214","N4A",2019,157
"215","N4A",2020,169
"216","N4A",2021,163
"217","N4A",2022,157
"218","N4D",1992,117
"219","N4D",1993,107
"220","N4D",1994,108
"221","N4D",1995,113
"222","N4D",1996,120
"223","N4D",1997,118
"224","N4D",1998,122
"225","N4D",1999,127
"226","N4D",2000,117
"227","N4D",2001,122
"228","N4D",2002,132
"229","N4D",2003,132
"230","N4D",2004,132
"231","N4D",2005,129
"232","N4D",2006,141
"233","N4D",2007,139
"234","N4D",2008,134
"235","N4D",2009,134
"236","N4D",2010,144
"237","N4D",2011,123
"238","N4D",2012,115
"239","N4D",2013,130
"240","N4D",2014,134
"241","N4D",2015,155
"242","N4D",2016,156
"243","N4D",2017,166
"244","N4D",2018,176
"245","N4D",2019,171
"246","N4D",2020,169
"247","N4D",2021,172
"248","N4D",2022,173
