DataCode,RecType,RecDate,watershed,ppt,Comments
APT01,1,10/15/1983,004B,0,
APT01,1,10/15/1983,HQ,0.6,
APT01,1,10/19/1983,020B,36,
APT01,1,10/19/1983,002C,37.2,
APT01,1,10/19/1983,004B,38.5,
APT01,1,10/19/1983,HQ,41,
APT01,1,10/20/1983,020B,2,
APT01,1,10/20/1983,002C,0.3,
APT01,1,10/20/1983,004B,3,
APT01,1,10/20/1983,HQ,0.3,
APT01,1,10/21/1983,020B,21,
APT01,1,10/21/1983,002C,20,
APT01,1,10/21/1983,004B,20,
APT01,1,10/21/1983,HQ,16,
APT01,1,10/24/1983,020B,0,
APT01,1,10/24/1983,002C,0.5,
APT01,1,10/24/1983,004B,0,
APT01,1,10/24/1983,HQ,0,
APT01,1,10/29/1983,020B,13.5,
APT01,1,10/29/1983,002C,14,
APT01,1,10/29/1983,004B,16,
APT01,1,10/29/1983,HQ,16.5,
APT01,1,10/30/1983,020B,0,
APT01,1,10/30/1983,002C,1,
APT01,1,10/30/1983,004B,0,
APT01,1,10/30/1983,HQ,0,
APT01,1,11/1/1983,020B,2.2,
APT01,1,11/1/1983,002C,4,
APT01,1,11/1/1983,004B,2.8,
APT01,1,11/1/1983,HQ,0.3,
APT01,1,11/2/1983,HQ,1,
APT01,1,11/3/1983,HQ,2.8,
APT01,1,11/6/1983,HQ,9.5,
APT01,1,11/8/1983,HQ,5,
APT01,1,11/9/1983,HQ,15.8,
APT01,1,11/18/1983,HQ,0.1,
APT01,1,11/22/1983,HQ,0.8,
APT01,1,11/23/1983,HQ,4.5,
APT01,1,11/26/1983,HQ,30.2,
APT01,1,11/27/1983,HQ,18.6,
APT01,1,11/29/1983,HQ,0.9,
APT01,1,12/2/1983,HQ,0.8,
APT01,1,12/3/1983,HQ,11,
APT01,1,12/4/1983,HQ,0.6,
APT01,1,12/17/1983,HQ,0.2,
APT01,1,12/18/1983,HQ,0.2,
APT01,1,12/20/1983,HQ,7.9,
APT01,1,12/27/1983,HQ,3.4,
APT01,1,1/12/1984,020B,0,
APT01,1,1/12/1984,002C,0,
APT01,1,1/12/1984,004B,0,
APT01,1,1/12/1984,HQ,1,
APT01,1,1/15/1984,020B,0,
APT01,1,1/15/1984,002C,0,
APT01,1,1/15/1984,004B,0,
APT01,1,1/15/1984,HQ,5.1,
APT01,1,2/14/1984,020B,0,
APT01,1,2/14/1984,002C,0,
APT01,1,2/14/1984,004B,0,
APT01,1,2/14/1984,HQ,2.6,
APT01,1,2/15/1984,020B,0,
APT01,1,2/15/1984,002C,0,
APT01,1,2/15/1984,004B,0,
APT01,1,2/15/1984,HQ,11,
APT01,1,2/16/1984,020B,0,
APT01,1,2/16/1984,002C,0,
APT01,1,2/16/1984,004B,0,
APT01,1,2/16/1984,HQ,2,
APT01,1,2/17/1984,020B,0,
APT01,1,2/17/1984,002C,0,
APT01,1,2/17/1984,004B,0,
APT01,1,2/17/1984,HQ,1.4,
APT01,1,2/18/1984,020B,0,
APT01,1,2/18/1984,002C,0,
APT01,1,2/18/1984,004B,0,
APT01,1,2/18/1984,HQ,3.5,
APT01,1,2/26/1984,020B,0,
APT01,1,2/26/1984,002C,0,
APT01,1,2/26/1984,004B,0,
APT01,1,2/26/1984,HQ,3.6,
APT01,1,2/27/1984,020B,0,
APT01,1,2/27/1984,002C,0,
APT01,1,2/27/1984,004B,0,
APT01,1,2/27/1984,HQ,0.4,
APT01,1,3/16/1984,020B,0,
APT01,1,3/16/1984,002C,0,
APT01,1,3/16/1984,004B,0,
APT01,1,3/16/1984,HQ,20.2,
APT01,1,3/18/1984,020B,0,
APT01,1,3/18/1984,002C,0,
APT01,1,3/18/1984,004B,0,
APT01,1,3/18/1984,HQ,33,
APT01,1,3/19/1984,020B,0,
APT01,1,3/19/1984,002C,0,
APT01,1,3/19/1984,004B,0,
APT01,1,3/19/1984,HQ,12.5,
APT01,1,3/23/1984,020B,0,
APT01,1,3/23/1984,002C,0,
APT01,1,3/23/1984,004B,0,
APT01,1,3/23/1984,HQ,8,
APT01,1,3/24/1984,020B,0,
APT01,1,3/24/1984,002C,0,
APT01,1,3/24/1984,004B,0,
APT01,1,3/24/1984,HQ,14,
APT01,1,3/26/1984,020B,0,
APT01,1,3/26/1984,002C,0,
APT01,1,3/26/1984,004B,0,
APT01,1,3/26/1984,HQ,11,
APT01,1,3/27/1984,020B,0,
APT01,1,3/27/1984,002C,0,
APT01,1,3/27/1984,004B,0,
APT01,1,3/27/1984,HQ,1.7,
APT01,1,3/28/1984,020B,0,
APT01,1,3/28/1984,002C,0,
APT01,1,3/28/1984,004B,0,
APT01,1,3/28/1984,HQ,16.8,
APT01,1,4/2/1984,020B,21.8,
APT01,1,4/2/1984,002C,23.7,
APT01,1,4/2/1984,004B,23.7,
APT01,1,4/2/1984,HQ,22,
APT01,1,4/3/1984,020B,3.2,
APT01,1,4/3/1984,002C,3.1,
APT01,1,4/3/1984,004B,2.9,
APT01,1,4/3/1984,HQ,2.3,
APT01,1,4/7/1984,020B,10,
APT01,1,4/7/1984,002C,12.5,
APT01,1,4/7/1984,004B,10.8,
APT01,1,4/7/1984,HQ,10.6,
APT01,1,4/8/1984,020B,9.3,
APT01,1,4/8/1984,002C,8.3,
APT01,1,4/8/1984,004B,9.9,
APT01,1,4/8/1984,HQ,8.2,
APT01,1,4/11/1984,020B,7.2,
APT01,1,4/11/1984,002C,8.9,
APT01,1,4/11/1984,004B,6.5,
APT01,1,4/11/1984,HQ,9.4,
APT01,1,4/14/1984,020B,0.2,
APT01,1,4/14/1984,002C,0.6,
APT01,1,4/14/1984,004B,0.4,
APT01,1,4/14/1984,HQ,0.5,
APT01,1,4/15/1984,020B,0.4,
APT01,1,4/15/1984,002C,0.4,
APT01,1,4/15/1984,004B,0.6,
APT01,1,4/15/1984,HQ,0.7,
APT01,1,4/20/1984,020B,15.4,
APT01,1,4/20/1984,002C,11.8,
APT01,1,4/20/1984,004B,16.8,
APT01,1,4/20/1984,HQ,12.5,
APT01,1,4/21/1984,020B,3.5,
APT01,1,4/21/1984,002C,6.2,
APT01,1,4/21/1984,004B,2.3,
APT01,1,4/21/1984,HQ,5,
APT01,1,4/22/1984,020B,3,
APT01,1,4/22/1984,002C,2.4,
APT01,1,4/22/1984,004B,2.7,
APT01,1,4/22/1984,HQ,1.3,
APT01,1,4/26/1984,020B,11.6,
APT01,1,4/26/1984,002C,15.1,
APT01,1,4/26/1984,004B,12.2,
APT01,1,4/26/1984,HQ,14.5,
APT01,1,4/28/1984,020B,0.3,
APT01,1,4/28/1984,002C,0.4,
APT01,1,4/28/1984,004B,0.4,
APT01,1,4/28/1984,HQ,0.4,
APT01,1,4/29/1984,020B,36.4,
APT01,1,4/29/1984,002C,36.7,
APT01,1,4/29/1984,004B,37.5,
APT01,1,4/29/1984,HQ,35.5,
APT01,1,5/1/1984,020B,0,
APT01,1,5/1/1984,002C,0.5,
APT01,1,5/1/1984,004B,0.1,
APT01,1,5/1/1984,HQ,0.6,
APT01,1,5/3/1984,020B,0,
APT01,1,5/3/1984,002C,2.3,
APT01,1,5/3/1984,004B,2.8,
APT01,1,5/3/1984,HQ,2.9,
APT01,1,5/6/1984,020B,0.2,
APT01,1,5/6/1984,002C,4.2,
APT01,1,5/6/1984,004B,4,
APT01,1,5/6/1984,HQ,3.5,
APT01,1,5/12/1984,020B,0,
APT01,1,5/12/1984,002C,0,
APT01,1,5/12/1984,004B,0,
APT01,1,5/12/1984,HQ,0.6,
APT01,1,5/15/1984,020B,0.6,
APT01,1,5/15/1984,002C,4.5,
APT01,1,5/15/1984,004B,2.7,
APT01,1,5/15/1984,HQ,3,
APT01,1,5/19/1984,020B,5,
APT01,1,5/19/1984,002C,6.3,
APT01,1,5/19/1984,004B,10.8,
APT01,1,5/19/1984,HQ,31.4,
APT01,1,5/22/1984,020B,8.1,
APT01,1,5/22/1984,002C,8.1,
APT01,1,5/22/1984,004B,9.1,
APT01,1,5/22/1984,HQ,6.1,
APT01,1,5/25/1984,020B,3.1,
APT01,1,5/25/1984,002C,3.2,
APT01,1,5/25/1984,004B,2,
APT01,1,5/25/1984,HQ,1.1,
APT01,1,5/27/1984,020B,19.2,
APT01,1,5/27/1984,002C,15.9,
APT01,1,5/27/1984,004B,20.9,
APT01,1,5/27/1984,HQ,19,
APT01,1,6/6/1984,020B,17.7,
APT01,1,6/6/1984,002C,9.2,
APT01,1,6/6/1984,004B,35.5,
APT01,1,6/6/1984,HQ,39.4,
APT01,1,6/7/1984,020B,22.6,
APT01,1,6/7/1984,002C,42.7,
APT01,1,6/7/1984,004B,4.7,
APT01,1,6/7/1984,HQ,7.9,
APT01,1,6/8/1984,020B,2,
APT01,1,6/8/1984,002C,1.8,
APT01,1,6/8/1984,004B,1.6,
APT01,1,6/8/1984,HQ,3.5,
APT01,1,6/9/1984,020B,25,
APT01,1,6/9/1984,002C,26.6,
APT01,1,6/9/1984,004B,34.7,
APT01,1,6/9/1984,HQ,66.2,
APT01,1,6/12/1984,020B,14.5,
APT01,1,6/12/1984,002C,21,
APT01,1,6/12/1984,004B,14.5,
APT01,1,6/12/1984,HQ,4,
APT01,1,6/13/1984,020B,8.4,
APT01,1,6/13/1984,002C,8.6,
APT01,1,6/13/1984,004B,9.5,
APT01,1,6/13/1984,HQ,11.9,
APT01,1,6/14/1984,020B,11.1,
APT01,1,6/14/1984,002C,10,
APT01,1,6/14/1984,004B,12,
APT01,1,6/14/1984,HQ,11.1,
APT01,1,6/15/1984,020B,29.8,
APT01,1,6/15/1984,002C,26.8,
APT01,1,6/15/1984,004B,26.2,
APT01,1,6/15/1984,HQ,41.8,
APT01,1,6/20/1984,020B,0,
APT01,1,6/20/1984,002C,0,
APT01,1,6/20/1984,004B,0.3,
APT01,1,6/20/1984,HQ,0.3,
APT01,1,6/21/1984,020B,30.3,
APT01,1,6/21/1984,002C,35.7,
APT01,1,6/21/1984,004B,48.3,
APT01,1,6/21/1984,HQ,35.8,
APT01,1,6/22/1984,020B,20.9,
APT01,1,6/22/1984,002C,14.9,
APT01,1,6/22/1984,004B,13.7,
APT01,1,6/22/1984,HQ,29.8,
APT01,1,6/25/1984,020B,0,
APT01,1,6/25/1984,002C,1.1,
APT01,1,6/25/1984,004B,0.7,
APT01,1,6/25/1984,HQ,0,
APT01,1,6/26/1984,020B,0.1,
APT01,1,6/26/1984,002C,0.6,
APT01,1,6/26/1984,004B,0.4,
APT01,1,6/26/1984,HQ,1.8,
APT01,1,6/27/1984,020B,0.2,
APT01,1,6/27/1984,002C,2.4,
APT01,1,6/27/1984,004B,1.4,
APT01,1,6/27/1984,HQ,1.8,
APT01,1,6/28/1984,020B,0,
APT01,1,6/28/1984,002C,0.3,
APT01,1,6/28/1984,004B,0,
APT01,1,6/28/1984,HQ,0.3,
APT01,1,7/4/1984,020B,0,
APT01,1,7/4/1984,002C,0,
APT01,1,7/4/1984,004B,0,
APT01,1,7/4/1984,HQ,0.4,
APT01,1,7/5/1984,020B,9,
APT01,1,7/5/1984,002C,10.2,
APT01,1,7/5/1984,004B,10.2,
APT01,1,7/5/1984,HQ,8.6,
APT01,1,7/6/1984,020B,0,
APT01,1,7/6/1984,002C,0.3,
APT01,1,7/6/1984,004B,0.9,
APT01,1,7/6/1984,HQ,0,
APT01,1,7/14/1984,020B,0.4,
APT01,1,7/14/1984,002C,0,
APT01,1,7/14/1984,004B,0,
APT01,1,7/14/1984,HQ,0,
APT01,1,7/17/1984,020B,7.9,
APT01,1,7/17/1984,002C,10,
APT01,1,7/17/1984,004B,12.3,
APT01,1,7/17/1984,HQ,13.8,
APT01,1,7/21/1984,020B,0.4,
APT01,1,7/21/1984,002C,0.5,
APT01,1,7/21/1984,004B,5.9,
APT01,1,7/21/1984,HQ,10.5,
APT01,1,8/4/1984,020B,0,
APT01,1,8/4/1984,002C,0.2,
APT01,1,8/4/1984,004B,0.1,
APT01,1,8/4/1984,HQ,0.2,
APT01,1,8/7/1984,020B,14,
APT01,1,8/7/1984,002C,19.7,
APT01,1,8/7/1984,004B,12.8,
APT01,1,8/7/1984,HQ,3.9,
APT01,1,8/21/1984,020B,34.2,
APT01,1,8/21/1984,002C,38.1,
APT01,1,8/21/1984,004B,34.5,
APT01,1,8/21/1984,HQ,34.5,
APT01,1,9/2/1984,020B,7.3,
APT01,1,9/2/1984,002C,8.5,
APT01,1,9/2/1984,004B,7,
APT01,1,9/2/1984,HQ,14.8,
APT01,1,9/8/1984,020B,8.1,
APT01,1,9/8/1984,002C,7.2,
APT01,1,9/8/1984,004B,8.8,
APT01,1,9/8/1984,HQ,2.8,
APT01,1,9/13/1984,020B,25.2,
APT01,1,9/13/1984,002C,19.9,
APT01,1,9/13/1984,004B,25.1,
APT01,1,9/13/1984,HQ,29,
APT01,1,9/14/1984,020B,60.8,
APT01,1,9/14/1984,002C,67.5,
APT01,1,9/14/1984,004B,65.9,
APT01,1,9/14/1984,HQ,59.5,
APT01,1,9/17/1984,020B,1.8,
APT01,1,9/17/1984,002C,2.2,
APT01,1,9/17/1984,004B,1.8,
APT01,1,9/17/1984,HQ,1,
APT01,1,9/22/1984,020B,0,
APT01,1,9/22/1984,002C,0.2,
APT01,1,9/22/1984,004B,0,
APT01,1,9/22/1984,HQ,0.1,
APT01,1,9/25/1984,020B,0,
APT01,1,9/25/1984,002C,0.5,
APT01,1,9/25/1984,004B,0.9,
APT01,1,9/25/1984,HQ,0.6,
APT01,1,9/27/1984,020B,5.8,
APT01,1,9/27/1984,002C,8.5,
APT01,1,9/27/1984,004B,8.4,
APT01,1,9/27/1984,HQ,9.1,
APT01,1,10/4/1984,020B,0.2,
APT01,1,10/4/1984,002C,2.4,
APT01,1,10/4/1984,004B,2.4,
APT01,1,10/4/1984,HQ,3,
APT01,1,10/5/1984,020B,4.9,
APT01,1,10/5/1984,002C,4.2,
APT01,1,10/5/1984,004B,6.2,
APT01,1,10/5/1984,HQ,6.8,
APT01,1,10/7/1984,020B,0.1,
APT01,1,10/7/1984,002C,1,
APT01,1,10/7/1984,004B,1,
APT01,1,10/7/1984,HQ,0.6,
APT01,1,10/9/1984,020B,0,
APT01,1,10/9/1984,002C,1.5,
APT01,1,10/9/1984,004B,1.4,
APT01,1,10/9/1984,HQ,2,
APT01,1,10/10/1984,020B,0,
APT01,1,10/10/1984,002C,2,
APT01,1,10/10/1984,004B,1.1,
APT01,1,10/10/1984,HQ,1.5,
APT01,1,10/14/1984,020B,16.1,
APT01,1,10/14/1984,002C,16.6,
APT01,1,10/14/1984,004B,17.1,
APT01,1,10/14/1984,HQ,22.3,
APT01,1,10/15/1984,020B,2.5,
APT01,1,10/15/1984,002C,2.1,
APT01,1,10/15/1984,004B,2,
APT01,1,10/15/1984,HQ,1.8,
APT01,1,10/16/1984,020B,25.2,
APT01,1,10/16/1984,002C,24.7,
APT01,1,10/16/1984,004B,24.9,
APT01,1,10/16/1984,HQ,22.3,
APT01,1,10/18/1984,020B,0,
APT01,1,10/18/1984,002C,1.8,
APT01,1,10/18/1984,004B,0.6,
APT01,1,10/18/1984,HQ,0.3,
APT01,1,10/20/1984,020B,0,
APT01,1,10/20/1984,002C,1.4,
APT01,1,10/20/1984,004B,0.8,
APT01,1,10/20/1984,HQ,1,
APT01,1,10/21/1984,020B,0,
APT01,1,10/21/1984,002C,1.6,
APT01,1,10/21/1984,004B,1.3,
APT01,1,10/21/1984,HQ,0.7,
APT01,1,10/24/1984,020B,0.4,
APT01,1,10/24/1984,002C,4.1,
APT01,1,10/24/1984,004B,2.6,
APT01,1,10/24/1984,HQ,1.5,
APT01,1,10/25/1984,020B,14.2,
APT01,1,10/25/1984,002C,12.7,
APT01,1,10/25/1984,004B,15.6,
APT01,1,10/25/1984,HQ,14.5,
APT01,1,10/31/1984,020B,7.9,
APT01,1,10/31/1984,002C,7.1,
APT01,1,10/31/1984,004B,5,
APT01,1,10/31/1984,HQ,4.5,
APT01,1,11/1/1984,020B,0,
APT01,1,11/1/1984,002C,0,
APT01,1,11/1/1984,004B,0,
APT01,1,11/1/1984,HQ,5.4,
APT01,1,11/10/1984,020B,0,
APT01,1,11/10/1984,002C,0,
APT01,1,11/10/1984,004B,0,
APT01,1,11/10/1984,HQ,1.1,
APT01,1,11/17/1984,020B,0,
APT01,1,11/17/1984,002C,0,
APT01,1,11/17/1984,004B,0,
APT01,1,11/17/1984,HQ,2.9,
APT01,1,12/5/1984,020B,0,
APT01,1,12/5/1984,002C,0,
APT01,1,12/5/1984,004B,0,
APT01,1,12/5/1984,HQ,1.8,
APT01,1,12/9/1984,020B,0,
APT01,1,12/9/1984,002C,0,
APT01,1,12/9/1984,004B,0,
APT01,1,12/9/1984,HQ,0.2,
APT01,1,12/13/1984,020B,0,
APT01,1,12/13/1984,002C,0,
APT01,1,12/13/1984,004B,0,
APT01,1,12/13/1984,HQ,17.9,
APT01,1,12/15/1984,020B,0,
APT01,1,12/15/1984,002C,0,
