DATACODE,RECTYPE,Recyear,Recmonth,Recday,Watershed_name,Soil_type,Repsite,Spp_code,Species,Genus,Spp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Total,COMMENTS,Family,Suborder
CGR02,2,2002,7,24,N20B,fl,a,12,Melanoplus femurrubrum,Melanoplus,femurrubrum,1,2,NA,NA,NA,2,2,3,NA,NA,10,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,15,Melanoplus keeleri,Melanoplus,keeleri,1,1,2,NA,NA,NA,NA,NA,1,1,6,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,16,Melanoplus bivittatus,Melanoplus,bivittatus,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,21,Orphulella speciosa,Orphulella,speciosa,2,NA,2,NA,1,NA,2,1,2,1,11,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,6,Hesperotettix speciosus,Hesperotettix,speciosus,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,11,Melanoplus sanguinipes,Melanoplus,sanguinipes,NA,NA,NA,1,NA,NA,NA,NA,NA,3,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,17,Melanoplus confusus,Melanoplus,confusus,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,20,Syrbula admirabilis,Syrbula,admirabilis,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,29,Ageneotettix deorum,Ageneotettix,deorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,4,Hypochlora alba,Hypochlora,alba,3,3,1,NA,NA,NA,4,NA,NA,2,13,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,16,5,22,14,3,6,2,5,2,8,83,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,16,Melanoplus bivittatus,Melanoplus,bivittatus,1,2,2,1,NA,NA,1,NA,NA,1,8,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,21,Orphulella speciosa,Orphulella,speciosa,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,10,Melanoplus scudderi,Melanoplus,scudderi,NA,4,1,2,3,1,1,3,NA,1,16,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,17,Melanoplus confusus,Melanoplus,confusus,NA,1,NA,3,1,3,NA,NA,NA,2,10,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,20,Syrbula admirabilis,Syrbula,admirabilis,NA,1,NA,NA,NA,1,NA,NA,1,1,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,15,Melanoplus keeleri,Melanoplus,keeleri,NA,NA,2,2,4,NA,2,3,1,6,20,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,22,Mermiria picta,Mermiria,picta,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,b,6,Hesperotettix speciosus,Hesperotettix,speciosus,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,a,4,Hypochlora alba,Hypochlora,alba,1,2,1,1,1,NA,NA,1,2,NA,9,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,3,NA,2,3,4,NA,2,1,1,1,17,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,a,21,Orphulella speciosa,Orphulella,speciosa,4,5,6,7,5,2,NA,2,1,7,39,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,a,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,a,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,a,20,Syrbula admirabilis,Syrbula,admirabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,a,26,Boopedon auriventris,Boopedon,auriventris,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,21,Orphulella speciosa,Orphulella,speciosa,7,5,5,2,7,14,6,5,7,13,71,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,23,Mermiria bivittata,Mermiria,bivittata,1,NA,NA,1,1,NA,NA,NA,NA,1,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,NA,NA,3,NA,NA,NA,NA,1,3,1,8,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,15,Melanoplus keeleri,Melanoplus,keeleri,NA,NA,1,3,NA,NA,NA,NA,NA,2,6,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,4,Hypochlora alba,Hypochlora,alba,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,NA,NA,1,NA,NA,1,1,1,NA,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,25,Pseudopomala brachyptera,Pseudopomala,brachyptera,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,1D,fl,b,37,Hippiscus ocelote,Hippiscus,ocelote,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,2,1,1,NA,NA,2,1,4,3,NA,14,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,a,10,Melanoplus scudderi,Melanoplus,scudderi,NA,1,1,NA,NA,NA,1,NA,NA,1,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,a,36,Hadrotettix trifasciatus,Hadrotettix,trifasciatus,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,a,21,Orphulella speciosa,Orphulella,speciosa,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,a,15,Melanoplus keeleri,Melanoplus,keeleri,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,2,2,1,NA,NA,1,2,1,4,3,16,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,15,Melanoplus keeleri,Melanoplus,keeleri,NA,1,1,NA,NA,NA,1,NA,4,NA,7,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,37,Hippiscus ocelote,Hippiscus,ocelote,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,NA,NA,1,1,NA,NA,2,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,21,Orphulella speciosa,Orphulella,speciosa,NA,NA,NA,NA,NA,NA,2,1,NA,1,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,31,Chortophaga viridifasciata,Chortophaga,viridifasciata,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,7,Hesperotettix viridis,Hesperotettix,viridis,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,33,Arphia xanthoptera,Arphia,xanthoptera,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4B,fl,b,17,Melanoplus confusus,Melanoplus,confusus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,1,1,3,4,1,7,3,4,9,3,36,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,21,Orphulella speciosa,Orphulella,speciosa,2,NA,NA,3,2,6,2,2,6,5,28,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,23,Mermiria bivittata,Mermiria,bivittata,1,NA,1,NA,NA,1,2,1,NA,1,7,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,15,Melanoplus keeleri,Melanoplus,keeleri,NA,1,NA,NA,NA,2,2,2,2,2,11,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,17,Melanoplus confusus,Melanoplus,confusus,NA,NA,NA,NA,1,NA,1,NA,3,1,6,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,31,Chortophaga viridifasciata,Chortophaga,viridifasciata,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,4,Hypochlora alba,Hypochlora,alba,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,12,Melanoplus femurrubrum,Melanoplus,femurrubrum,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,7,Hesperotettix viridis,Hesperotettix,viridis,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,11,Melanoplus sanguinipes,Melanoplus,sanguinipes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,a,29,Ageneotettix deorum,Ageneotettix,deorum,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,6,NA,NA,2,4,2,NA,3,1,2,20,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,21,Orphulella speciosa,Orphulella,speciosa,1,NA,1,2,NA,4,NA,1,1,NA,10,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,15,Melanoplus keeleri,Melanoplus,keeleri,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,1,NA,NA,1,1,NA,NA,NA,NA,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,2,NA,3,NA,1,NA,NA,NA,6,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,20,Syrbula admirabilis,Syrbula,admirabilis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,4,Hypochlora alba,Hypochlora,alba,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,14,Melanoplus differentialis,Melanoplus,differentialis,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,26,Boopedon auriventris,Boopedon,auriventris,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,4F,fl,b,12,Melanoplus femurrubrum,Melanoplus,femurrubrum,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,4,Hypochlora alba,Hypochlora,alba,5,1,NA,1,NA,NA,NA,NA,NA,NA,7,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,6,Hesperotettix speciosus,Hesperotettix,speciosus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,4,NA,5,4,5,4,NA,1,2,2,27,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,21,Orphulella speciosa,Orphulella,speciosa,1,NA,1,NA,3,NA,NA,1,NA,4,10,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,10,Melanoplus scudderi,Melanoplus,scudderi,NA,3,2,NA,1,1,1,1,NA,NA,9,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,15,Melanoplus keeleri,Melanoplus,keeleri,NA,1,1,1,1,2,NA,NA,NA,1,7,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,1,NA,1,NA,1,NA,1,NA,NA,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,23,Mermiria bivittata,Mermiria,bivittata,NA,1,1,NA,1,2,NA,NA,NA,NA,5,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,12,Melanoplus femurrubrum,Melanoplus,femurrubrum,NA,NA,1,NA,2,NA,NA,NA,NA,NA,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,25,Pseudopomala brachyptera,Pseudopomala,brachyptera,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,a,31,Chortophaga viridifasciata,Chortophaga,viridifasciata,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,1,1,1,NA,2,NA,1,2,NA,NA,8,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,3,Paratylotropidia brunneri,Paratylotropidia,brunneri,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,15,Melanoplus keeleri,Melanoplus,keeleri,NA,NA,NA,NA,2,2,NA,1,NA,NA,5,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,20,Syrbula admirabilis,Syrbula,admirabilis,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,29,Ageneotettix deorum,Ageneotettix,deorum,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,30,20B,fl,b,12,Melanoplus femurrubrum,Melanoplus,femurrubrum,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,15,Melanoplus keeleri,Melanoplus,keeleri,4,4,9,2,3,NA,3,NA,1,NA,26,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,20,Syrbula admirabilis,Syrbula,admirabilis,1,1,NA,1,NA,NA,NA,NA,NA,1,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,21,Orphulella speciosa,Orphulella,speciosa,10,3,10,9,8,6,3,4,2,NA,55,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,29,Ageneotettix deorum,Ageneotettix,deorum,5,7,8,2,4,4,NA,NA,NA,1,31,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,31,Chortophaga viridifasciata,Chortophaga,viridifasciata,1,2,NA,1,NA,NA,NA,NA,NA,NA,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,37,Hippiscus ocelote,Hippiscus,ocelote,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,11,Melanoplus sanguinipes,Melanoplus,sanguinipes,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,1,NA,NA,NA,1,NA,1,2,NA,5,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,17,Melanoplus confusus,Melanoplus,confusus,NA,1,NA,2,2,1,NA,NA,NA,NA,6,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,13,Melanoplus packardii,Melanoplus,packardii,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,34,Arphia simplex,Arphia,simplex,NA,NA,2,NA,NA,1,NA,NA,NA,NA,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,2,4,NA,NA,NA,NA,NA,6,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,6,Hesperotettix speciosus,Hesperotettix,speciosus,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,12,Melanoplus femurrubrum,Melanoplus,femurrubrum,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,31,N1B,fl,a,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,12,12,13,NA,16,15,4,23,14,9,118,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,10,Melanoplus scudderi,Melanoplus,scudderi,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,21,Orphulella speciosa,Orphulella,speciosa,7,NA,8,7,7,8,4,9,7,NA,57,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,4,Hypochlora alba,Hypochlora,alba,NA,2,NA,3,NA,6,1,2,NA,NA,14,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,20,Syrbula admirabilis,Syrbula,admirabilis,NA,1,NA,NA,NA,NA,NA,1,NA,3,5,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,23,Mermiria bivittata,Mermiria,bivittata,NA,1,1,NA,1,NA,NA,3,1,NA,7,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,15,Melanoplus keeleri,Melanoplus,keeleri,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,a,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,NA,NA,1,1,NA,NA,NA,NA,1,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,8,4,2,4,2,9,17,4,5,2,57,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,21,Orphulella speciosa,Orphulella,speciosa,14,7,11,8,12,17,12,15,10,5,111,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,15,Melanoplus keeleri,Melanoplus,keeleri,NA,4,2,NA,3,1,NA,1,NA,1,12,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,23,Mermiria bivittata,Mermiria,bivittata,NA,3,NA,1,NA,2,NA,1,NA,2,9,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,29,Ageneotettix deorum,Ageneotettix,deorum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,25,Pseudopomala brachyptera,Pseudopomala,brachyptera,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,33,Arphia xanthoptera,Arphia,xanthoptera,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,4,Hypochlora alba,Hypochlora,alba,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,24,Opeia obscura,Opeia,obscura,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,1D,fl,b,31,Chortophaga viridifasciata,Chortophaga,viridifasciata,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,8,6,3,7,10,3,5,2,1,2,47,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,21,Orphulella speciosa,Orphulella,speciosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,15,Melanoplus keeleri,Melanoplus,keeleri,NA,1,1,NA,NA,3,NA,2,1,1,9,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,4,Hypochlora alba,Hypochlora,alba,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,23,Mermiria bivittata,Mermiria,bivittata,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,26,Boopedon auriventris,Boopedon,auriventris,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,4B,fl,a,6,Hesperotettix speciosus,Hesperotettix,speciosus,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,Acrididae,Caelifera
