"","species.watershed","Watershed_name","AOU_code","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"24","OROR.20B","20B","OROR",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
"25","RNEP.20B","20B","RNEP",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"26","BHCO.4A","4A","BHCO",6,7,4,12,5,6,2,1,3,2,3,4,9,9,1,5,7,5
"27","DICK.4A","4A","DICK",2,4,4,3,5,0,2,2,3,3,1,9,4,4,3,7,1,3
"28","EAKI.4A","4A","EAKI",2,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
"29","EAME.4A","4A","EAME",1,3,1,3,2,1,4,5,3,2,0,4,4,3,0,2,2,1
"30","FISP.4A","4A","FISP",1,0,0,0,0,3,1,0,1,0,0,0,0,1,0,1,1,1
"31","GRSP.4A","4A","GRSP",1,4,1,2,1,4,0,0,2,1,0,4,1,3,0,2,1,1
"32","MODO.4A","4A","MODO",2,0,0,0,0,1,2,1,1,1,0,1,2,2,2,0,1,0
"33","NOBO.4A","4A","NOBO",2,1,0,0,0,4,0,1,0,0,0,1,0,0,0,2,0,0
"34","RWBL.4A","4A","RWBL",1,0,1,2,3,1,0,1,1,0,0,1,0,0,0,0,0,0
"35","BEVI.4B","4B","BEVI",2,2,1,1,3,4,1,1,0,1,4,0,1,1,1,4,4,1
"36","BHCO.4B","4B","BHCO",14,10,19,25,21,25,14,14,16,10,12,6,25,6,17,27,14,18
"37","BRTH.4B","4B","BRTH",3,3,2,3,3,0,1,1,4,0,3,3,5,4,9,2,5,4
"38","COYE.4B","4B","COYE",3,4,1,0,2,3,2,5,1,0,3,1,5,0,2,4,4,2
"39","DICK.4B","4B","DICK",10,10,18,13,18,8,11,17,10,10,14,13,21,11,27,14,8,11
"40","EAKI.4B","4B","EAKI",3,4,3,3,2,2,0,0,1,0,0,2,1,0,0,1,0,0
"41","EAME.4B","4B","EAME",9,11,4,7,8,9,8,4,3,2,4,1,12,5,9,5,4,3
"42","FISP.4B","4B","FISP",1,6,1,0,4,10,3,3,3,0,0,0,0,0,1,0,0,0
"43","GRSP.4B","4B","GRSP",3,8,2,0,2,2,0,0,0,1,7,0,2,4,1,3,2,3
"44","HESP.4B","4B","HESP",3,3,0,9,2,6,0,9,0,2,0,0,6,0,1,5,7,0
"45","NOBO.4B","4B","NOBO",4,3,4,2,2,6,0,1,2,1,0,1,3,20,2,2,0,0
"46","NOHA.4B","4B","NOHA",1,0,1,1,0,0,0,2,1,0,2,0,1,0,0,0,1,0
"47","YBCU.4B","4B","YBCU",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","BEVI.N1B","N1B","BEVI",1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1
"49","BHCO.N1B","N1B","BHCO",4,3,2,0,2,1,4,3,3,3,4,13,4,6,6,9,4,17
"50","BLGR.N1B","N1B","BLGR",1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"51","BRTH.N1B","N1B","BRTH",5,2,0,0,2,1,1,1,1,1,1,0,2,1,0,1,1,1
"52","DICK.N1B","N1B","DICK",2,3,7,0,11,6,7,4,6,7,8,6,10,8,10,9,2,19
"53","EAME.N1B","N1B","EAME",4,4,3,0,2,2,2,5,2,3,1,2,0,0,0,3,2,2
"54","FISP.N1B","N1B","FISP",2,3,1,0,1,2,1,2,3,0,0,0,1,0,1,1,1,1
"55","NOBO.N1B","N1B","NOBO",2,3,3,0,0,2,4,1,3,2,0,2,0,0,0,3,1,0
"56","UPSA.N1B","N1B","UPSA",1,3,1,0,1,1,0,2,3,0,2,5,2,0,0,0,0,2
"57","BAOR.N20B","N20B","BAOR",3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"58","BEVI.N20B","N20B","BEVI",1,7,3,8,5,3,3,10,13,7,14,26,16,18,14,9,25,17
"59","BHCO.N20B","N20B","BHCO",19,27,23,14,11,30,15,9,32,14,14,26,35,29,18,19,24,35
"60","BLGR.N20B","N20B","BLGR",1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"61","BRTH.N20B","N20B","BRTH",4,6,7,2,11,4,2,3,1,4,3,3,6,4,2,3,5,2
"62","COYE.N20B","N20B","COYE",1,5,3,6,3,3,6,4,1,0,6,4,1,0,3,1,1,2
"63","DICK.N20B","N20B","DICK",22,24,26,4,14,17,18,11,23,16,22,19,18,17,25,19,8,20
"64","EAKI.N20B","N20B","EAKI",4,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"65","EAME.N20B","N20B","EAME",4,15,7,12,6,15,11,13,17,4,3,9,13,12,3,6,8,4
"66","FISP.N20B","N20B","FISP",2,9,3,2,6,2,6,5,11,4,8,8,14,6,5,10,8,11
"67","GRCA.N20B","N20B","GRCA",2,1,1,0,0,1,1,0,2,4,0,2,3,2,2,3,3,2
"68","GRSP.N20B","N20B","GRSP",4,13,2,0,4,8,4,9,9,8,16,16,10,17,17,14,16,9
"69","NOBO.N20B","N20B","NOBO",11,8,6,4,4,5,8,4,7,4,4,6,4,3,1,0,8,5
"70","NOHA.N20B","N20B","NOHA",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"71","OROR.N20B","N20B","OROR",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"72","BEVI.N4B","N4B","BEVI",3,2,1,0,4,1,4,4,4,3,4,6,5,1,2,2,4,1
"73","BHCO.N4B","N4B","BHCO",1,6,12,4,6,10,3,8,2,6,4,5,10,1,3,8,16,6
"74","BRTH.N4B","N4B","BRTH",1,3,2,2,1,3,2,3,0,0,0,1,0,2,1,2,3,3
"75","COYE.N4B","N4B","COYE",1,0,3,0,2,2,1,1,0,1,0,1,2,0,0,0,0,2
"76","DICK.N4B","N4B","DICK",12,2,14,2,5,8,9,0,3,1,12,8,7,0,15,8,7,15
"77","DOWO.N4B","N4B","DOWO",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"78","EAKI.N4B","N4B","EAKI",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"79","EAME.N4B","N4B","EAME",4,1,6,1,6,7,7,3,2,0,4,12,4,0,1,0,1,5
"80","FISP.N4B","N4B","FISP",4,2,6,0,5,1,5,3,7,2,0,6,9,6,2,2,1,2
"81","GCFL.N4B","N4B","GCFL",1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
"82","GRCA.N4B","N4B","GRCA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"83","GRSP.N4B","N4B","GRSP",5,0,2,0,2,3,4,0,1,4,6,10,9,3,2,2,6,5
"84","NOBO.N4B","N4B","NOBO",3,5,2,3,1,2,0,2,2,0,0,0,1,0,1,1,1,2
"85","RWBL.N4B","N4B","RWBL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","UPSA.N4B","N4B","UPSA",1,2,1,2,1,2,1,2,1,3,4,4,2,4,2,6,1,0
"87","AMGO.N4D","N4D","AMGO",3,0,0,4,0,1,1,2,0,1,0,5,5,5,0,5,0,1
"88","ATSP.N4D","N4D","ATSP",1,13,0,0,0,0,0,9,0,0,6,4,0,1,5,3,3,1
"89","BAOR.N4D","N4D","BAOR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","BEVI.N4D","N4D","BEVI",4,3,4,2,5,2,2,4,4,3,3,6,3,2,5,10,9,4
"91","BHCO.N4D","N4D","BHCO",10,6,13,11,13,6,2,9,11,6,8,19,16,9,13,29,18,20
"92","BRTH.N4D","N4D","BRTH",4,5,4,4,2,1,2,5,7,3,3,2,3,1,4,4,2,10
"93","COYE.N4D","N4D","COYE",3,4,2,5,1,1,1,3,2,0,2,7,3,0,2,0,4,1
"94","DICK.N4D","N4D","DICK",11,3,7,5,13,8,8,7,11,4,12,24,19,8,22,12,11,13
"95","EAKI.N4D","N4D","EAKI",3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"96","EAME.N4D","N4D","EAME",8,6,4,4,8,5,1,4,8,0,1,11,2,0,0,7,7,1
"97","FISP.N4D","N4D","FISP",7,4,7,3,1,2,4,7,6,2,3,9,5,5,3,7,5,6
"98","GHOW.N4D","N4D","GHOW",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"99","GRCA.N4D","N4D","GRCA",1,1,2,1,1,4,0,1,3,1,1,2,1,1,2,1,1,2
"100","GRSP.N4D","N4D","GRSP",1,4,1,3,1,4,2,11,9,0,4,18,8,2,13,12,16,2
"101","HOWR.N4D","N4D","HOWR",2,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0
"102","MODO.N4D","N4D","MODO",5,6,4,5,0,4,0,0,1,2,1,1,0,0,2,4,0,1
"103","NOBO.N4D","N4D","NOBO",3,3,3,1,4,3,1,0,2,1,1,2,2,2,2,1,3,2
"104","NOCA.N4D","N4D","NOCA",2,0,2,0,0,0,1,0,1,0,0,2,1,1,1,0,0,1
"105","OROR.N4D","N4D","OROR",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"106","AMRO.1D","1D","AMRO",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","ATSP.1D","1D","ATSP",0,2,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
"108","MODO.1D","1D","MODO",0,2,1,2,2,3,2,1,0,1,0,3,0,3,2,1,1,0
"109","NOFL.1D","1D","NOFL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","UPSA.1D","1D","UPSA",0,1,1,4,0,0,2,2,1,2,4,1,1,3,2,0,0,2
"111","RWBL.20B","20B","RWBL",0,6,1,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0
"112","SOSP.20B","20B","SOSP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","AMGO.4A","4A","AMGO",0,3,0,0,1,1,0,0,2,1,0,0,0,4,0,0,2,0
"114","BAOR.4A","4A","BAOR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","BEVI.4A","4A","BEVI",0,1,1,2,0,2,1,1,2,1,3,2,4,3,3,3,3,2
"116","BRTH.4A","4A","BRTH",0,2,1,1,0,0,0,0,0,1,2,1,2,0,1,0,0,0
"117","COYE.4A","4A","COYE",0,1,2,0,0,3,0,1,2,1,0,3,1,0,0,1,1,2
"118","UPSA.4A","4A","UPSA",0,1,2,1,0,0,2,2,1,0,0,0,0,1,3,0,0,1
"119","AMGO.4B","4B","AMGO",0,3,1,2,0,0,0,0,0,0,0,0,1,1,1,3,0,1
"120","GRCA.4B","4B","GRCA",0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1
"121","HOWR.4B","4B","HOWR",0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"122","MODO.4B","4B","MODO",0,4,0,0,1,6,0,1,1,0,2,2,3,2,3,3,5,2
"123","NOFL.4B","4B","NOFL",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"124","RNEP.4B","4B","RNEP",0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0
"125","UPSA.4B","4B","UPSA",0,2,1,1,1,1,3,0,1,1,2,3,0,1,0,1,0,0
"126","ATSP.N1B","N1B","ATSP",0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,26
"127","EAKI.N1B","N1B","EAKI",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","AMCR.N20B","N20B","AMCR",0,3,0,0,0,1,0,4,1,3,9,0,0,1,0,0,0,0
"129","AMGO.N20B","N20B","AMGO",0,4,0,2,1,0,0,4,2,2,1,3,4,9,9,3,7,1
"130","ATSP.N20B","N20B","ATSP",0,1,0,0,0,0,0,1,0,0,6,0,1,4,3,14,4,0
"131","GHOW.N20B","N20B","GHOW",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","MODO.N20B","N20B","MODO",0,1,4,3,0,0,1,2,1,2,0,2,4,2,0,0,2,2
"133","NOFL.N20B","N20B","NOFL",0,2,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,0
"134","RNEP.N20B","N20B","RNEP",0,1,2,0,0,0,2,1,2,1,0,2,0,0,0,0,0,0
"135","AMCR.N4B","N4B","AMCR",0,3,0,0,0,0,0,5,0,1,1,0,0,0,1,0,0,0
"136","ATSP.N4B","N4B","ATSP",0,12,0,0,0,0,0,5,0,1,10,0,0,5,15,20,13,6
"137","EABL.N4B","N4B","EABL",0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"138","MODO.N4B","N4B","MODO",0,3,2,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0
"139","NOFL.N4B","N4B","NOFL",0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"140","RBWO.N4B","N4B","RBWO",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"141","RHWO.N4B","N4B","RHWO",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","AMCR.N4D","N4D","AMCR",0,4,1,0,1,0,3,1,0,0,0,5,0,0,0,0,0,0
"143","AMRO.N4D","N4D","AMRO",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1
"144","BCCH.N4D","N4D","BCCH",0,2,0,0,2,0,2,1,0,0,0,3,1,0,1,2,3,2
"145","CONI.N4D","N4D","CONI",0,1,0,2,1,0,0,0,0,0,0,0,0,2,3,0,0,0
"146","EABL.N4D","N4D","EABL",0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
"147","HESP.N4D","N4D","HESP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","UPSA.N4D","N4D","UPSA",0,1,1,1,0,1,1,1,2,5,2,3,4,4,5,5,2,2
"149","NOHA.1D","1D","NOHA",0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
"150","RHWO.1D","1D","RHWO",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","RLHA.1D","1D","RLHA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","SEOW.1D","1D","SEOW",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","AMGO.20B","20B","AMGO",0,0,1,3,3,1,2,1,1,2,3,0,4,6,4,4,8,4
"154","FISP.20B","20B","FISP",0,0,2,1,5,2,1,1,0,5,2,1,1,5,2,1,0,1
"155","GRCA.20B","20B","GRCA",0,0,2,0,1,1,1,1,5,5,2,2,4,10,7,3,4,3
"156","HESP.20B","20B","HESP",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","HOWR.20B","20B","HOWR",0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1
"158","RLHA.20B","20B","RLHA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","YEWA.20B","20B","YEWA",0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,2
"160","BLGR.4A","4A","BLGR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"161","OROR.4B","4B","OROR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","RWBL.4B","4B","RWBL",0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0
"163","GRSP.N1B","N1B","GRSP",0,0,2,0,2,2,3,1,2,5,0,3,4,6,6,2,10,4
"164","MODO.N1B","N1B","MODO",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,5,1,0
"165","RTHA.N1B","N1B","RTHA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"166","CONI.N20B","N20B","CONI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","GCFL.N20B","N20B","GCFL",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"168","NOCA.N20B","N20B","NOCA",0,0,1,1,2,1,1,1,1,0,0,0,2,1,1,2,0,0
"169","UPSA.N20B","N20B","UPSA",0,0,1,1,4,4,5,2,4,6,2,3,6,1,2,5,0,4
"170","YBCU.N20B","N20B","YBCU",0,0,3,0,0,0,0,2,0,0,1,2,1,0,1,1,2,2
"171","AMGO.N4B","N4B","AMGO",0,0,6,0,1,5,1,0,0,1,0,3,4,0,0,0,4,1
"172","GHOW.N4B","N4B","GHOW",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"173","NOHA.N4B","N4B","NOHA",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","SEWR.N4B","N4B","SEWR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","BLGR.N4D","N4D","BLGR",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"176","GCFL.N4D","N4D","GCFL",0,0,1,0,0,3,0,0,1,1,0,0,0,0,1,0,1,2
"177","NOFL.N4D","N4D","NOFL",0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"178","GHOW.1D","1D","GHOW",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","RTHA.20B","20B","RTHA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"180","NOCA.4A","4A","NOCA",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"181","AMRO.4B","4B","AMRO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22,0,0
"182","NOFL.N1B","N1B","NOFL",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"183","PISI.N4D","N4D","PISI",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","RNEP.N4D","N4D","RNEP",0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"185","AMCR.20B","20B","AMCR",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"186","NOHA.20B","20B","NOHA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"187","GRCA.4A","4A","GRCA",0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0
"188","HESP.4A","4A","HESP",0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0
"189","BAOR.4B","4B","BAOR",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"190","AMGO.N1B","N1B","AMGO",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0
"191","CONI.N1B","N1B","CONI",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"192","AMRO.N20B","N20B","AMRO",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0
"193","HOWR.N20B","N20B","HOWR",0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0
"194","NSHR.N20B","N20B","NSHR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","COHA.N4B","N4B","COHA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","OROR.N4B","N4B","OROR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"197","BLJA.4B","4B","BLJA",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"198","GCFL.4B","4B","GCFL",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"199","AMCR.N1B","N1B","AMCR",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"200","COPO.N4B","N4B","COPO",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"201","BARS.1D","1D","BARS",0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,1
"202","CONI.20B","20B","CONI",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"203","UPSA.20B","20B","UPSA",0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"204","WEKI.20B","20B","WEKI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"205","GRPC.4B","4B","GRPC",0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
"206","RTHA.4B","4B","RTHA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"207","SUTA.4B","4B","SUTA",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"208","RNEP.N1B","N1B","RNEP",0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"209","BCCH.N20B","N20B","BCCH",0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,1,3,2
"210","CHSW.N20B","N20B","CHSW",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"211","HESP.N20B","N20B","HESP",0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0
"212","INBU.N20B","N20B","INBU",0,0,0,0,0,0,1,0,0,2,2,1,2,1,0,1,2,4
"213","BCCH.N4B","N4B","BCCH",0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,2,0,1
"214","NOCA.N4B","N4B","NOCA",0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,2,0,0
"215","GOEA.N4D","N4D","GOEA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"216","LASP.N4D","N4D","LASP",0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,0,2
"217","CONI.1D","1D","CONI",0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0
"218","KILL.1D","1D","KILL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"219","LOSH.20B","20B","LOSH",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"220","ATSP.4A","4A","ATSP",0,0,0,0,0,0,0,10,0,0,5,0,0,1,0,4,0,2
"221","HOWR.4A","4A","HOWR",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"222","AMCR.4B","4B","AMCR",0,0,0,0,0,0,0,1,7,0,2,0,1,0,0,0,0,0
"223","ATSP.4B","4B","ATSP",0,0,0,0,0,0,0,16,0,0,0,0,3,4,1,2,0,0
"224","SOSP.4B","4B","SOSP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"225","BARS.N20B","N20B","BARS",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"226","BEWR.N20B","N20B","BEWR",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"227","RWBL.N20B","N20B","RWBL",0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0
"228","CONI.N4B","N4B","CONI",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"229","KILL.N4B","N4B","KILL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"230","LASP.N4B","N4B","LASP",0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,2,0
"231","SOSP.N4D","N4D","SOSP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"232","CONI.4B","4B","CONI",0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,3
"233","YEWA.N20B","N20B","YEWA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"234","BLJA.N4B","N4B","BLJA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"235","TUTI.N4B","N4B","TUTI",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"236","YBCU.N4D","N4D","YBCU",0,0,0,0,0,0,0,0,1,1,0,1,0,2,6,0,2,1
"237","EATO.20B","20B","EATO",0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,2,4,5
"238","EATO.4A","4A","EATO",0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,0,2,0
"239","EATO.4B","4B","EATO",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2
"240","COYE.N1B","N1B","COYE",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"241","INBU.N1B","N1B","INBU",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"242","YBCU.N1B","N1B","YBCU",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"243","BGGN.N20B","N20B","BGGN",0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,0,1
"244","EATO.N20B","N20B","EATO",0,0,0,0,0,0,0,0,0,4,1,5,5,3,2,5,2,4
"245","GRPC.N4B","N4B","GRPC",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"246","EATO.N4D","N4D","EATO",0,0,0,0,0,0,0,0,0,3,0,4,4,4,1,1,5,3
"247","INBU.N4D","N4D","INBU",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,4,2
"248","KEWA.N4D","N4D","KEWA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"249","COGR.20B","20B","COGR",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
