DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,REPSITE,SPCODE,SPECIES,FIRSTINSTAR,SECTHIRDINSTAR,FORTHINSTAR,FIFTHINSTAR,FEMALE,MALE,TOTAL,COMMENTS
CGR02,3,1982,7,7,000b,fl,b,15,melanoplus keeleri,1,4,,,,,5,
CGR02,3,1982,7,7,000b,fl,b,16,melanoplus bivittatu,,1,,,,,1,
CGR02,3,1982,7,7,000b,fl,b,27,orphulella speciosa,,1,,,,,1,
CGR02,3,1982,7,7,000b,fl,b,29,mermiria bivittata,,2,,,,,2,
CGR02,3,1982,7,7,000b,fl,b,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,8,000b,tu,a,16,melanoplus bivittatu,,1,,,,,1,
CGR02,3,1982,7,8,000b,tu,a,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,8,000b,tu,b,16,melanoplus bivittatu,,1,,,,,1,
CGR02,3,1982,7,12,n01b,fl,a,9,phoetaliot nebrascen,,1,,,,,1,
CGR02,3,1982,7,12,n01b,fl,a,10,melanoplus scudderi,,1,,,,,1,
CGR02,3,1982,7,12,n01b,fl,a,15,melanoplus keeleri,,1,,,,,1,
CGR02,3,1982,7,12,n01b,fl,a,16,melanoplus bivittatu,,,,,,1,1,
CGR02,3,1982,7,12,n01b,fl,a,31,pseudopoma brachypte,,,,,,4,4,
CGR02,3,1982,7,12,n01b,fl,b,6,hesperotet speciosus,,,1,,,1,2,
CGR02,3,1982,7,12,n01b,fl,b,9,phoetaliot nebrascen,1,,,,,,1,
CGR02,3,1982,7,12,n01b,fl,b,10,melanoplus scudderi,1,,,,,,1,
CGR02,3,1982,7,12,n01b,fl,b,31,pseudopoma brachypte,,,,,2,2,4,
CGR02,3,1982,7,12,n01b,tu,a,4,hypochlora alba,,5,,,,,5,
CGR02,3,1982,7,12,n01b,tu,a,9,phoetaliot nebrascen,3,,,,,,3,
CGR02,3,1982,7,12,n01b,tu,a,10,melanoplus scudderi,4,3,,,,,7,
CGR02,3,1982,7,12,n01b,tu,a,12,melanoplus femurrubr,4,1,,,,,5,
CGR02,3,1982,7,12,n01b,tu,a,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,12,n01b,tu,b,6,hesperotet speciosus,,,,1,1,,2,
CGR02,3,1982,7,12,n01b,tu,b,9,phoetaliot nebrascen,1,,,,,,1,
CGR02,3,1982,7,12,n01b,tu,b,10,melanoplus scudderi,3,,,,,,3,
CGR02,3,1982,7,12,n01b,tu,b,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,12,n04d,fl,a,4,hypochlora alba,,17,8,3,2,,30,
CGR02,3,1982,7,12,n04d,fl,a,5,campylacan olivacea,,,1,4,,,5,
CGR02,3,1982,7,12,n04d,fl,a,9,phoetaliot nebrascen,,10,,,,,10,
CGR02,3,1982,7,12,n04d,fl,a,10,melanoplus scudderi,,27,,,,,27,
CGR02,3,1982,7,12,n04d,fl,a,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1982,7,12,n04d,fl,a,15,melanoplus keeleri,,13,,,,,13,
CGR02,3,1982,7,12,n04d,fl,a,16,melanoplus bivittatu,,5,1,,,,6,
CGR02,3,1982,7,12,n04d,fl,a,17,melanoplus confusus,,,,,,1,1,
CGR02,3,1982,7,12,n04d,fl,a,27,orphulella speciosa,,1,,,,,1,
CGR02,3,1982,7,12,n04d,fl,b,4,hypochlora alba,,3,2,1,,,6,
CGR02,3,1982,7,12,n04d,fl,b,6,hesperotet speciosus,,1,1,1,,,3,
CGR02,3,1982,7,12,n04d,fl,b,9,phoetaliot nebrascen,1,2,,,,,3,
CGR02,3,1982,7,12,n04d,fl,b,10,melanoplus scudderi,4,2,,,,,6,
CGR02,3,1982,7,12,n04d,fl,b,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1982,7,12,n04d,fl,b,15,melanoplus keeleri,,3,,,,,3,
CGR02,3,1982,7,12,n04d,fl,b,16,melanoplus bivittatu,,1,,,,,1,
CGR02,3,1982,7,12,n04d,fl,b,27,orphulella speciosa,,2,,,,,2,
CGR02,3,1982,7,12,n04d,fl,b,31,pseudopoma brachypte,,1,,,,2,3,
CGR02,3,1982,7,13,n04d,tu,a,6,hesperotet speciosus,,,,1,,,1,
CGR02,3,1982,7,13,n04d,tu,a,9,phoetaliot nebrascen,1,4,,,,,5,
CGR02,3,1982,7,13,n04d,tu,a,10,melanoplus scudderi,1,8,,,,,9,
CGR02,3,1982,7,13,n04d,tu,a,15,melanoplus keeleri,,1,,,,,1,
CGR02,3,1982,7,13,n04d,tu,a,16,melanoplus bivittatu,,1,,,,,1,
CGR02,3,1982,7,13,n04d,tu,a,27,orphulella speciosa,,4,,2,,,6,
CGR02,3,1982,7,13,n04d,tu,b,4,hypochlora alba,1,,,,,,1,
CGR02,3,1982,7,13,n04d,tu,b,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,12,n00b,fl,a,4,hypochlora alba,,2,,1,,,3,
CGR02,3,1982,7,12,n00b,fl,a,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1982,7,12,n00b,fl,a,15,melanoplus keeleri,1,3,,,,,4,
CGR02,3,1982,7,12,n00b,fl,a,16,melanoplus bivittatu,,,,,,1,1,
CGR02,3,1982,7,12,n00b,fl,a,27,orphulella speciosa,1,2,,,,,3,
CGR02,3,1982,7,12,n00b,fl,a,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,12,n00b,fl,b,2,schistocer lineata,,1,,,,,1,
CGR02,3,1982,7,12,n00b,fl,b,4,hypochlora alba,,1,,,,,1,
CGR02,3,1982,7,12,n00b,fl,b,7,hesperotet viridis,,,,,1,,1,
CGR02,3,1982,7,12,n00b,fl,b,10,melanoplus scudderi,,1,,,,,1,
CGR02,3,1982,7,12,n00b,fl,b,15,melanoplus keeleri,1,1,,,,,2,
CGR02,3,1982,7,12,n00b,fl,b,27,orphulella speciosa,2,1,,,,,3,
CGR02,3,1982,7,13,n00b,tu,a,4,hypochlora alba,,1,,2,1,1,5,
CGR02,3,1982,7,13,n00b,tu,a,9,phoetaliot nebrascen,,1,,,,,1,
CGR02,3,1982,7,13,n00b,tu,a,12,melanoplus femurrubr,1,,,,,,1,
CGR02,3,1982,7,13,n00b,tu,a,17,melanoplus confusus,,,,,,1,1,
CGR02,3,1982,7,13,n00b,tu,a,27,orphulella speciosa,,2,,,,,2,
CGR02,3,1982,7,13,n00b,tu,a,31,pseudopoma brachypte,,,,1,1,1,3,
CGR02,3,1982,7,13,n00b,tu,b,4,hypochlora alba,,5,4,1,,1,11,
CGR02,3,1982,7,13,n00b,tu,b,9,phoetaliot nebrascen,,2,,,,,2,
CGR02,3,1982,7,13,n00b,tu,b,15,melanoplus keeleri,,2,,,,,2,
CGR02,3,1982,7,13,n00b,tu,b,8,hesperotet species,1,,,,,,1,
CGR02,3,1982,7,13,n00b,tu,b,27,orphulella speciosa,,2,1,,,,3,
CGR02,3,1983,7,19,n04d,fl,a,15,melanoplus keeleri,,22,,,,,22,
CGR02,3,1983,7,19,n04d,fl,a,8,hesperotet species,,5,2,3,,,10,
CGR02,3,1983,7,13,n04d,fl,b,4,hypochlora alba,,32,8,1,,,41,
CGR02,3,1983,7,13,n04d,fl,b,10,melanoplus scudderi,,4,,,,,4,
CGR02,3,1983,7,13,n04d,fl,b,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1983,7,13,n04d,fl,b,15,melanoplus keeleri,,18,,,,,18,
CGR02,3,1983,7,13,n04d,fl,b,8,hesperotet species,,6,1,1,,,8,
CGR02,3,1983,7,13,n04d,fl,b,27,orphulella speciosa,,2,,,,,2,
CGR02,3,1983,7,19,n04d,tu,a,4,hypochlora alba,1,18,2,3,,,24,
CGR02,3,1983,7,19,n04d,tu,a,9,phoetaliot nebrascen,2,263,,,,,265,
CGR02,3,1983,7,19,n04d,tu,a,10,melanoplus scudderi,,66,,,,,66,
CGR02,3,1983,7,19,n04d,tu,a,12,melanoplus femurrubr,,8,,,,,8,
CGR02,3,1983,7,19,n04d,tu,a,15,melanoplus keeleri,,18,,,,,18,
CGR02,3,1983,7,19,n04d,tu,a,8,hesperotet species,,25,1,1,,,27,
CGR02,3,1983,7,19,n04d,tu,a,27,orphulella speciosa,,9,1,,,,10,
CGR02,3,1983,7,19,n04d,tu,b,4,hypochlora alba,1,8,,,,,9,
CGR02,3,1983,7,19,n04d,tu,b,9,phoetaliot nebrascen,1,,,,,,1,
CGR02,3,1983,7,19,n04d,tu,b,10,melanoplus scudderi,,4,,,,,4,
CGR02,3,1983,7,19,n04d,tu,b,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1983,7,19,n04d,tu,b,15,melanoplus keeleri,3,1,,,,,4,
CGR02,3,1983,7,12,n00b,fl,a,9,phoetaliot nebrascen,1,5,,,,,6,
CGR02,3,1983,7,12,n00b,fl,a,10,melanoplus scudderi,2,38,,,,,40,
CGR02,3,1983,7,12,n00b,fl,a,15,melanoplus keeleri,2,17,,,,,19,
CGR02,3,1983,7,12,n00b,fl,a,8,hesperotet species,,1,1,1,,,3,
CGR02,3,1983,7,12,n00b,fl,a,27,orphulella speciosa,,1,,,,,1,
CGR02,3,1983,7,12,n00b,fl,a,29,mermiria bivittata,,1,1,,,,2,
CGR02,3,1983,7,12,n00b,fl,a,90,unknown,,25,1,,,,26,
CGR02,3,1983,7,12,n00b,fl,b,4,hypochlora alba,,2,,,,,2,
CGR02,3,1983,7,12,n00b,fl,b,10,melanoplus scudderi,3,,,,,,3,
CGR02,3,1983,7,12,n00b,fl,b,15,melanoplus keeleri,9,,,,,,9,
CGR02,3,1983,7,12,n00b,fl,b,8,hesperotet species,,,1,,,,1,
CGR02,3,1983,7,12,n00b,fl,b,27,orphulella speciosa,,1,,,,,1,
