"","watershed.Watershed1","watershed.Year1","watershed.Watershed2","watershed.Year2","watershed.jaccard_diss","watershed.bray_diss"
"63","1D",2009,"N4A",2009,0.470588235294118,0.4147850942753
"64","1D",2009,"N4D",2009,0.3125,0.481227498714212
"65","1D",2010,"1D",2010,0,0
"66","1D",2010,"20B",2010,0.428571428571429,0.401118099231307
"67","1D",2010,"4B",2010,0.75,0.521350546176763
"68","1D",2010,"4F",2010,0.6,0.460377358490566
"69","1D",2010,"N1B",2010,0.5,0.476549865229111
"70","1D",2010,"N20B",2010,0.583333333333333,0.358181255799567
"71","1D",2010,"N4A",2010,0.615384615384615,0.463249788791889
"72","1D",2010,"N4D",2010,0.444444444444444,0.362264150943396
"73","1D",2011,"1D",2011,0,0
"74","1D",2011,"20B",2011,0.25,0.558836996336996
"75","1D",2011,"4B",2011,0.384615384615385,0.480349971313827
"76","1D",2011,"4F",2011,0.285714285714286,0.369579675445597
"77","1D",2011,"N1B",2011,0.285714285714286,0.469924812030075
"78","1D",2011,"N20B",2011,0.384615384615385,0.368464868464868
"79","1D",2011,"N4A",2011,0.411764705882353,0.437118437118437
"80","1D",2011,"N4D",2011,0.266666666666667,0.355204872646733
"81","1D",2012,"1D",2012,0,0
"82","1D",2012,"20B",2012,0.2,0.634304963946658
"83","1D",2012,"4B",2012,0.3125,0.54270154723127
"84","1D",2012,"4F",2012,0.1875,0.477622500087563
"85","1D",2012,"N1B",2012,0.25,0.481330476794264
"86","1D",2012,"N20B",2012,0.4,0.401221498371336
"87","1D",2012,"N4A",2012,0.277777777777778,0.510684039087948
"88","1D",2012,"N4D",2012,0.35,0.609277291017088
"89","1D",2013,"1D",2013,0,0
"90","1D",2013,"20B",2013,0.214285714285714,0.428221670802316
"91","1D",2013,"4B",2013,0.4,0.489140427793278
"92","1D",2013,"4F",2013,0.214285714285714,0.388616308616309
"93","1D",2013,"N1B",2013,0.352941176470588,0.319680207433016
"94","1D",2013,"N20B",2013,0.294117647058824,0.457403846153846
"95","1D",2013,"N4A",2013,0.388888888888889,0.470414711597706
"96","1D",2013,"N4D",2013,0.333333333333333,0.568722073279714
"97","1D",2014,"1D",2014,0,0
"98","1D",2014,"20B",2014,0.466666666666667,0.453788411916491
"99","1D",2014,"4B",2014,0.538461538461538,0.50187969924812
"100","1D",2014,"4F",2014,0.538461538461538,0.540019132653061
"101","1D",2014,"N1B",2014,0.625,0.582199546485261
"102","1D",2014,"N20B",2014,0.529411764705882,0.482346035759437
"103","1D",2014,"N4A",2014,0.666666666666667,0.672692990239574
"104","1D",2014,"N4D",2014,0.529411764705882,0.645115423218468
"105","1D",2015,"1D",2015,0,0
"106","1D",2015,"20B",2015,0.5,0.634164920967435
"107","1D",2015,"4B",2015,0.583333333333333,0.514773200166459
"108","1D",2015,"4F",2015,0.5,0.701151000274048
"109","1D",2015,"N1B",2015,0.5,0.662130083874031
"110","1D",2015,"N20B",2015,0.571428571428572,0.495752260893395
"111","1D",2015,"N4A",2015,0.533333333333333,0.557636287973367
"112","1D",2015,"N4D",2015,0.6,0.726855515113151
"113","1D",2016,"1D",2016,0,0
"114","1D",2016,"20B",2016,0.363636363636364,0.687024803689393
"115","1D",2016,"4B",2016,0.4,0.631432317273025
"116","1D",2016,"4F",2016,0.222222222222222,0.618520859671302
"117","1D",2016,"N1B",2016,0.363636363636364,0.561736198904341
"118","1D",2016,"N20B",2016,0.2,0.570523325685568
"119","1D",2016,"N4A",2016,0.538461538461538,0.533789219629928
"120","1D",2016,"N4D",2016,0.363636363636364,0.809242871189774
"121","1D",2017,"1D",2017,0,0
"122","1D",2017,"20B",2017,0.181818181818182,0.609818181818182
"123","1D",2017,"4B",2017,0.466666666666667,0.543525440077164
"124","1D",2017,"4F",2017,0.181818181818182,0.564213564213564
"125","1D",2017,"N1B",2017,0.357142857142857,0.547619047619048
"126","1D",2017,"N20B",2017,0.428571428571429,0.555930735930736
"127","1D",2017,"N4A",2017,0.470588235294118,0.650246305418719
"128","1D",2017,"N4D",2017,0.307692307692308,0.641001855287569
"129","1D",2018,"1D",2018,0,0
"130","1D",2018,"20B",2018,0.538461538461538,0.417676501580611
"131","1D",2018,"4B",2018,0.55,0.39302875995123
"132","1D",2018,"4F",2018,0.466666666666667,0.445167300438295
"133","1D",2018,"N1B",2018,0.588235294117647,0.647312638766704
"134","1D",2018,"N20B",2018,0.7,0.675221085486388
"135","1D",2018,"N4A",2018,0.578947368421053,0.563329820864067
"136","1D",2018,"N4D",2018,0.6,0.736591017515164
"137","1D",2019,"1D",2019,0,0
"138","1D",2019,"20B",2019,0.444444444444444,0.57233560090703
"139","1D",2019,"4B",2019,0.444444444444444,0.438367346938776
"140","1D",2019,"4F",2019,0.529411764705882,0.636379270809447
"141","1D",2019,"N1B",2019,0.590909090909091,0.633737244897959
"142","1D",2019,"N20B",2019,0.608695652173913,0.704094631483167
"143","1D",2019,"N4A",2019,0.521739130434783,0.647007259279551
"144","1D",2019,"N4D",2019,0.571428571428572,0.714285714285714
"145","1D",2020,"1D",2020,0,0
"146","1D",2020,"20B",2020,0.454545454545455,0.579180509413068
"147","1D",2020,"4B",2020,0.428571428571429,0.429990310077519
"148","1D",2020,"4F",2020,0.583333333333333,0.523255813953488
"149","1D",2020,"N1B",2020,0.666666666666667,0.471236230110159
"150","1D",2020,"N20B",2020,0.625,0.542774086378737
"151","1D",2020,"N4A",2020,0.5625,0.722015503875969
"152","1D",2020,"N4D",2020,0.461538461538462,0.507399577167019
"153","20B",2002,"20B",2002,0,0
"154","20B",2002,"4B",2002,0.458333333333333,0.161609534743863
"155","20B",2002,"4F",2002,0.291666666666667,0.180376821529098
"156","20B",2002,"N1B",2002,0.333333333333333,0.556363190885518
"157","20B",2002,"N20B",2002,0.285714285714286,0.197853199754651
"158","20B",2002,"N4A",2002,0.346153846153846,0.517440498339328
"159","20B",2002,"N4D",2002,0.481481481481481,0.498364090875671
"160","20B",2003,"20B",2003,0,0
"161","20B",2003,"4B",2003,0.380952380952381,0.342123056118999
"162","20B",2003,"4F",2003,0.4,0.35832083958021
"163","20B",2003,"N1B",2003,0.32,0.45665151920164
"164","20B",2003,"N20B",2003,0.4,0.298449612403101
"165","20B",2003,"N4A",2003,0.36,0.358913029034616
"166","20B",2003,"N4D",2003,0.32,0.407174452830809
"167","20B",2004,"20B",2004,0,0
"168","20B",2004,"4B",2004,0.384615384615385,0.267379679144385
"169","20B",2004,"4F",2004,0.428571428571429,0.446464646464646
"170","20B",2004,"N1B",2004,0.6,0.434960884812517
"171","20B",2004,"N20B",2004,0.4375,0.335750139431121
"172","20B",2004,"N4A",2004,0.636363636363636,0.4300395256917
"173","20B",2004,"N4D",2004,0.666666666666667,0.411857707509881
"174","20B",2005,"20B",2005,0,0
"175","20B",2005,"4B",2005,0.5625,0.421176470588235
"176","20B",2005,"4F",2005,0.466666666666667,0.272307692307692
"177","20B",2005,"N1B",2005,0.526315789473684,0.672
"178","20B",2005,"N20B",2005,0.55,0.496541353383459
"179","20B",2005,"N4A",2005,0.388888888888889,0.507291666666667
"180","20B",2005,"N4D",2005,0.470588235294118,0.620759493670886
"181","20B",2006,"20B",2006,0,0
"182","20B",2006,"4B",2006,0.416666666666667,0.375093773443361
"183","20B",2006,"4F",2006,0.444444444444444,0.392706872370266
"184","20B",2006,"N1B",2006,0.533333333333333,0.641716254306295
"185","20B",2006,"N20B",2006,0.684210526315789,0.450594227504245
"186","20B",2006,"N4A",2006,0.588235294117647,0.623841305153875
"187","20B",2006,"N4D",2006,0.625,0.635050553683197
"188","20B",2007,"20B",2007,0,0
"189","20B",2007,"4B",2007,0.461538461538462,0.222689075630252
"190","20B",2007,"4F",2007,0.357142857142857,0.175275760021523
"191","20B",2007,"N1B",2007,0.388888888888889,0.43719806763285
"192","20B",2007,"N20B",2007,0.214285714285714,0.2001287001287
"193","20B",2007,"N4A",2007,0.541666666666667,0.463133640552995
"194","20B",2007,"N4D",2007,0.55,0.598566308243728
"195","20B",2008,"20B",2008,0,0
"196","20B",2008,"4B",2008,0.333333333333333,0.165386707277276
"197","20B",2008,"4F",2008,0.466666666666667,0.25768927444795
"198","20B",2008,"N1B",2008,0.421052631578947,0.507147244692924
"199","20B",2008,"N20B",2008,0.421052631578947,0.410385828682359
"200","20B",2008,"N4A",2008,0.545454545454545,0.594546226644018
"201","20B",2008,"N4D",2008,0.541666666666667,0.632208333883294
"202","20B",2009,"20B",2009,0,0
"203","20B",2009,"4B",2009,0.470588235294118,0.16555639078255
"204","20B",2009,"4F",2009,0.375,0.222832369942197
"205","20B",2009,"N1B",2009,0.222222222222222,0.598445131514092
"206","20B",2009,"N20B",2009,0.333333333333333,0.391371774989426
"207","20B",2009,"N4A",2009,0.368421052631579,0.611031908551284
"208","20B",2009,"N4D",2009,0.222222222222222,0.584775281956657
"209","20B",2010,"20B",2010,0,0
"210","20B",2010,"4B",2010,0.625,0.181286549707602
"211","20B",2010,"4F",2010,0.333333333333333,0.1
"212","20B",2010,"N1B",2010,0.545454545454545,0.632275132275132
"213","20B",2010,"N20B",2010,0.5,0.392228293867638
"214","20B",2010,"N4A",2010,0.538461538461538,0.614151464897734
"215","20B",2010,"N4D",2010,0.5,0.523703703703704
"216","20B",2011,"20B",2011,0,0
"217","20B",2011,"4B",2011,0.333333333333333,0.232970342910102
"218","20B",2011,"4F",2011,0.230769230769231,0.293484099699183
"219","20B",2011,"N1B",2011,0.230769230769231,0.81469298245614
"220","20B",2011,"N20B",2011,0.333333333333333,0.316433566433566
"221","20B",2011,"N4A",2011,0.375,0.795405982905983
"222","20B",2011,"N4D",2011,0.4375,0.660442754919499
"223","20B",2012,"20B",2012,0,0
"224","20B",2012,"4B",2012,0.153846153846154,0.261197916666667
"225","20B",2012,"4F",2012,0.142857142857143,0.348276812792942
"226","20B",2012,"N1B",2012,0.4,0.817025182125853
"227","20B",2012,"N20B",2012,0.473684210526316,0.603739316239316
"228","20B",2012,"N4A",2012,0.352941176470588,0.767435897435897
"229","20B",2012,"N4D",2012,0.421052631578947,0.790045248868778
"230","20B",2013,"20B",2013,0,0
"231","20B",2013,"4B",2013,0.214285714285714,0.167474511114825
"232","20B",2013,"4F",2013,0.142857142857143,0.163082437275986
"233","20B",2013,"N1B",2013,0.1875,0.532946719826024
"234","20B",2013,"N20B",2013,0.235294117647059,0.466784274193548
"235","20B",2013,"N4A",2013,0.333333333333333,0.537123606225031
"236","20B",2013,"N4D",2013,0.277777777777778,0.626368589466402
"237","20B",2014,"20B",2014,0,0
"238","20B",2014,"4B",2014,0.375,0.32897761645493
"239","20B",2014,"4F",2014,0.375,0.366558908045977
"240","20B",2014,"N1B",2014,0.294117647058824,0.43431855500821
"241","20B",2014,"N20B",2014,0.222222222222222,0.347980876818228
"242","20B",2014,"N4A",2014,0.45,0.517803598200899
"243","20B",2014,"N4D",2014,0.315789473684211,0.522423214622197
"244","20B",2015,"20B",2015,0,0
"245","20B",2015,"4B",2015,0.111111111111111,0.324544883866918
"246","20B",2015,"4F",2015,0.363636363636364,0.265812319140141
"247","20B",2015,"N1B",2015,0.5,0.585103843399379
"248","20B",2015,"N20B",2015,0.571428571428572,0.543199669284828
"249","20B",2015,"N4A",2015,0.307692307692308,0.545197740112994
"250","20B",2015,"N4D",2015,0.6,0.697779899737408
"251","20B",2016,"20B",2016,0,0
"252","20B",2016,"4B",2016,0.5,0.238393322900365
"253","20B",2016,"4F",2016,0.2,0.117706237424547
"254","20B",2016,"N1B",2016,0.461538461538462,0.717303822937626
"255","20B",2016,"N20B",2016,0.333333333333333,0.584072335246044
"256","20B",2016,"N4A",2016,0.6,0.617797695262484
"257","20B",2016,"N4D",2016,0.333333333333333,0.761345852895149
"258","20B",2017,"20B",2017,0,0
"259","20B",2017,"4B",2017,0.466666666666667,0.319766578249337
"260","20B",2017,"4F",2017,0,0.0887179487179487
"261","20B",2017,"N1B",2017,0.230769230769231,0.737142857142857
"262","20B",2017,"N20B",2017,0.428571428571429,0.737333333333333
"263","20B",2017,"N4A",2017,0.375,0.707770114942529
"264","20B",2017,"N4D",2017,0.166666666666667,0.676571428571429
"265","20B",2018,"20B",2018,0,0
"266","20B",2018,"4B",2018,0.555555555555556,0.332360048328635
"267","20B",2018,"4F",2018,0.461538461538462,0.230142140468227
"268","20B",2018,"N1B",2018,0.5,0.79984121383204
"269","20B",2018,"N20B",2018,0.5625,0.690238558909445
"270","20B",2018,"N4A",2018,0.588235294117647,0.723717948717949
"271","20B",2018,"N4D",2018,0.529411764705882,0.681831228473019
"272","20B",2019,"20B",2019,0,0
"273","20B",2019,"4B",2019,0.266666666666667,0.267936507936508
"274","20B",2019,"4F",2019,0.357142857142857,0.219184352892218
"275","20B",2019,"N1B",2019,0.294117647058824,0.664583333333333
"276","20B",2019,"N20B",2019,0.333333333333333,0.616466147676339
"277","20B",2019,"N4A",2019,0.545454545454545,0.718767089236888
"278","20B",2019,"N4D",2019,0.352941176470588,0.687619047619048
"279","20B",2020,"20B",2020,0,0
"280","20B",2020,"4B",2020,0.384615384615385,0.220238095238095
"281","20B",2020,"4F",2020,0.545454545454545,0.299557032115172
"282","20B",2020,"N1B",2020,0.538461538461538,0.665413533834587
"283","20B",2020,"N20B",2020,0.6,0.678571428571428
"284","20B",2020,"N4A",2020,0.428571428571429,0.768571428571429
"285","20B",2020,"N4D",2020,0.538461538461538,0.742424242424242
"286","4B",2002,"4B",2002,0,0
"287","4B",2002,"4F",2002,0.333333333333333,0.250177797150657
"288","4B",2002,"N1B",2002,0.482758620689655,0.617599454808757
"289","4B",2002,"N20B",2002,0.333333333333333,0.289156505594862
"290","4B",2002,"N4A",2002,0.384615384615385,0.525088023702982
"291","4B",2002,"N4D",2002,0.461538461538462,0.53448275862069
"292","4B",2003,"4B",2003,0,0
"293","4B",2003,"4F",2003,0.315789473684211,0.254049445865303
"294","4B",2003,"N1B",2003,0.384615384615385,0.468247454020368
"295","4B",2003,"N20B",2003,0.260869565217391,0.302781577747378
"296","4B",2003,"N4A",2003,0.36,0.423627639880615
"297","4B",2003,"N4D",2003,0.384615384615385,0.423588319447951
"298","4B",2004,"4B",2004,0,0
"299","4B",2004,"4F",2004,0.6,0.354248366013072
"300","4B",2004,"N1B",2004,0.65,0.307418397626113
"301","4B",2004,"N20B",2004,0.5,0.305593648502346
"302","4B",2004,"N4A",2004,0.619047619047619,0.382566069906223
"303","4B",2004,"N4D",2004,0.5625,0.376982097186701
"304","4B",2005,"4B",2005,0,0
"305","4B",2005,"4F",2005,0.625,0.464253393665158
"306","4B",2005,"N1B",2005,0.578947368421053,0.446117647058823
"307","4B",2005,"N20B",2005,0.444444444444444,0.436532507739938
"308","4B",2005,"N4A",2005,0.526315789473684,0.323161764705882
"309","4B",2005,"N4D",2005,0.529411764705882,0.600148920327625
"310","4B",2006,"4B",2006,0,0
"311","4B",2006,"4F",2006,0.583333333333333,0.355409504550051
"312","4B",2006,"N1B",2006,0.333333333333333,0.491533077444118
"313","4B",2006,"N20B",2006,0.444444444444444,0.418359853121175
"314","4B",2006,"N4A",2006,0.411764705882353,0.380780539962577
"315","4B",2006,"N4D",2006,0.529411764705882,0.475876431794516
"316","4B",2007,"4B",2007,0,0
"317","4B",2007,"4F",2007,0.538461538461538,0.237620471917581
"318","4B",2007,"N1B",2007,0.611111111111111,0.423529411764706
"319","4B",2007,"N20B",2007,0.6,0.228934817170111
"320","4B",2007,"N4A",2007,0.708333333333333,0.381615011596036
"321","4B",2007,"N4D",2007,0.75,0.617963314358001
"322","4B",2008,"4B",2008,0,0
"323","4B",2008,"4F",2008,0.461538461538462,0.199640804597701
"324","4B",2008,"N1B",2008,0.5,0.486810060316376
"325","4B",2008,"N20B",2008,0.5,0.377188328912467
"326","4B",2008,"N4A",2008,0.55,0.524303713527852
"327","4B",2008,"N4D",2008,0.608695652173913,0.618842879815322
"328","4B",2009,"4B",2009,0,0
"329","4B",2009,"4F",2009,0.333333333333333,0.149439461883408
"330","4B",2009,"N1B",2009,0.470588235294118,0.686185559842876
"331","4B",2009,"N20B",2009,0.285714285714286,0.469014546647709
"332","4B",2009,"N4A",2009,0.4375,0.654708520179372
"333","4B",2009,"N4D",2009,0.470588235294118,0.673580578723653
"334","4B",2010,"4B",2010,0,0
"335","4B",2010,"4F",2010,0.6,0.2
"336","4B",2010,"N1B",2010,0.5,0.665413533834587
"337","4B",2010,"N20B",2010,0.583333333333333,0.494391716997412
"338","4B",2010,"N4A",2010,0.615384615384615,0.699921445404556
"339","4B",2010,"N4D",2010,0.444444444444444,0.589473684210526
"340","4B",2011,"4B",2011,0,0
"341","4B",2011,"4F",2011,0.230769230769231,0.201790401830787
"342","4B",2011,"N1B",2011,0.357142857142857,0.735362502642148
"343","4B",2011,"N20B",2011,0.181818181818182,0.220026960990816
"344","4B",2011,"N4A",2011,0.375,0.706621357223767
"345","4B",2011,"N4D",2011,0.4375,0.575931633510787
"346","4B",2012,"4B",2012,0,0
"347","4B",2012,"4F",2012,0.266666666666667,0.24893313172043
"348","4B",2012,"N1B",2012,0.476190476190476,0.688994337248322
"349","4B",2012,"N20B",2012,0.473684210526316,0.540104166666667
"350","4B",2012,"N4A",2012,0.444444444444444,0.7396875
"351","4B",2012,"N4D",2012,0.421052631578947,0.710436163101604
"352","4B",2013,"4B",2013,0,0
"353","4B",2013,"4F",2013,0.333333333333333,0.19393875741026
"354","4B",2013,"N1B",2013,0.25,0.513419106945334
"355","4B",2013,"N20B",2013,0.294117647058824,0.493624514248705
"356","4B",2013,"N4A",2013,0.294117647058824,0.55218938254815
"357","4B",2013,"N4D",2013,0.333333333333333,0.651707205267472
"358","4B",2014,"4B",2014,0,0
"359","4B",2014,"4F",2014,0.307692307692308,0.443421052631579
"360","4B",2014,"N1B",2014,0.333333333333333,0.514285714285714
"361","4B",2014,"N20B",2014,0.352941176470588,0.429995342338146
"362","4B",2014,"N4A",2014,0.411764705882353,0.544565217391304
"363","4B",2014,"N4D",2014,0.352941176470588,0.538826574633305
"364","4B",2015,"4B",2015,0,0
"365","4B",2015,"4F",2015,0.454545454545455,0.532520325203252
"366","4B",2015,"N1B",2015,0.5625,0.508607198748044
"367","4B",2015,"N20B",2015,0.538461538461538,0.423667570009033
"368","4B",2015,"N4A",2015,0.384615384615385,0.333333333333333
"369","4B",2015,"N4D",2015,0.571428571428572,0.589462702138758
"370","4B",2016,"4B",2016,0,0
"371","4B",2016,"4F",2016,0.4,0.189153439153439
"372","4B",2016,"N1B",2016,0.5,0.576719576719577
"373","4B",2016,"N20B",2016,0.2,0.493827160493827
"374","4B",2016,"N4A",2016,0.538461538461538,0.457912457912458
"375","4B",2016,"N4D",2016,0.363636363636364,0.685185185185185
"376","4B",2017,"4B",2017,0,0
"377","4B",2017,"4F",2017,0.466666666666667,0.361332154435603
"378","4B",2017,"N1B",2017,0.375,0.607995452823039
"379","4B",2017,"N20B",2017,0.4375,0.635614500442087
"380","4B",2017,"N4A",2017,0.388888888888889,0.528293545534925
"381","4B",2017,"N4D",2017,0.4375,0.485790071996969
"382","4B",2018,"4B",2018,0,0
"383","4B",2018,"4F",2018,0.5,0.460172652296486
"384","4B",2018,"N1B",2018,0.45,0.499951966953264
"385","4B",2018,"N20B",2018,0.263157894736842,0.447345748558553
"386","4B",2018,"N4A",2018,0.380952380952381,0.457108336689489
"387","4B",2018,"N4D",2018,0.333333333333333,0.42377119637415
"388","4B",2019,"4B",2019,0,0
"389","4B",2019,"4F",2019,0.357142857142857,0.356982343499197
"390","4B",2019,"N1B",2019,0.388888888888889,0.50827380952381
"391","4B",2019,"N20B",2019,0.421052631578947,0.493139217470428
"392","4B",2019,"N4A",2019,0.476190476190476,0.56816874400767
"393","4B",2019,"N4D",2019,0.352941176470588,0.548571428571429
"394","4B",2020,"4B",2020,0,0
"395","4B",2020,"4F",2020,0.5,0.205426356589147
"396","4B",2020,"N1B",2020,0.5,0.487938596491228
"397","4B",2020,"N20B",2020,0.470588235294118,0.569940476190476
"398","4B",2020,"N4A",2020,0.411764705882353,0.609583333333333
"399","4B",2020,"N4D",2020,0.4,0.607007575757576
"400","4F",2002,"4F",2002,0,0
"401","4F",2002,"N1B",2002,0.344827586206897,0.522985928847433
"402","4F",2002,"N20B",2002,0.227272727272727,0.232596448079618
"403","4F",2002,"N4A",2002,0.230769230769231,0.44147066931145
"404","4F",2002,"N4D",2002,0.37037037037037,0.414554130629287
"405","4F",2003,"4F",2003,0,0
"406","4F",2003,"N1B",2003,0.461538461538462,0.591663857993484
"407","4F",2003,"N20B",2003,0.347826086956522,0.363891697562072
"408","4F",2003,"N4A",2003,0.5,0.521292340342353
"409","4F",2003,"N4D",2003,0.518518518518518,0.527223155232112
"410","4F",2004,"4F",2004,0,0
"411","4F",2004,"N1B",2004,0.6,0.491082936186794
"412","4F",2004,"N20B",2004,0.529411764705882,0.373923281898742
"413","4F",2004,"N4A",2004,0.571428571428572,0.356499780412824
"414","4F",2004,"N4D",2004,0.5,0.606938954765042
"415","4F",2005,"4F",2005,0,0
"416","4F",2005,"N1B",2005,0.578947368421053,0.635692307692308
"417","4F",2005,"N20B",2005,0.666666666666667,0.442914979757085
"418","4F",2005,"N4A",2005,0.666666666666667,0.561858974358974
"419","4F",2005,"N4D",2005,0.684210526315789,0.771178188899708
"420","4F",2006,"4F",2006,0,0
"421","4F",2006,"N1B",2006,0.571428571428572,0.559307724778387
"422","4F",2006,"N20B",2006,0.722222222222222,0.445766590389016
"423","4F",2006,"N4A",2006,0.625,0.402548725637181
"424","4F",2006,"N4D",2006,0.571428571428572,0.569759896171318
"425","4F",2007,"4F",2007,0,0
"426","4F",2007,"N1B",2007,0.444444444444444,0.497519037091624
"427","4F",2007,"N20B",2007,0.285714285714286,0.27698885326004
"428","4F",2007,"N4A",2007,0.583333333333333,0.437944231820667
"429","4F",2007,"N4D",2007,0.526315789473684,0.630945872061236
"430","4F",2008,"4F",2008,0,0
"431","4F",2008,"N1B",2008,0.529411764705882,0.420431105610561
"432","4F",2008,"N20B",2008,0.529411764705882,0.33036858974359
"433","4F",2008,"N4A",2008,0.65,0.479166666666667
"434","4F",2008,"N4D",2008,0.695652173913044,0.588018654114365
"435","4F",2009,"4F",2009,0,0
"436","4F",2009,"N1B",2009,0.470588235294118,0.594089147286822
"437","4F",2009,"N20B",2009,0.4,0.385670731707317
"438","4F",2009,"N4A",2009,0.4375,0.573486547085202
"439","4F",2009,"N4D",2009,0.375,0.643118892508143
"440","4F",2010,"4F",2010,0,0
"441","4F",2010,"N1B",2010,0.416666666666667,0.647619047619048
"442","4F",2010,"N20B",2010,0.384615384615385,0.389071038251366
"443","4F",2010,"N4A",2010,0.307692307692308,0.599004975124378
"444","4F",2010,"N4D",2010,0.363636363636364,0.546666666666667
"445","4F",2011,"4F",2011,0,0
"446","4F",2011,"N1B",2011,0.266666666666667,0.576301087915319
"447","4F",2011,"N20B",2011,0.230769230769231,0.137242645622534
"448","4F",2011,"N4A",2011,0.1875,0.526094637826481
"449","4F",2011,"N4D",2011,0.25,0.416525919189295
"450","4F",2012,"4F",2012,0,0
"451","4F",2012,"N1B",2012,0.380952380952381,0.565050155156239
"452","4F",2012,"N20B",2012,0.368421052631579,0.377150537634409
"453","4F",2012,"N4A",2012,0.333333333333333,0.570645161290323
"454","4F",2012,"N4D",2012,0.4,0.515416019780346
"455","4F",2013,"4F",2013,0,0
"456","4F",2013,"N1B",2013,0.294117647058824,0.480210547626278
"457","4F",2013,"N20B",2013,0.235294117647059,0.458438907657658
"458","4F",2013,"N4A",2013,0.333333333333333,0.518786808990136
"459","4F",2013,"N4D",2013,0.277777777777778,0.616589780128654
"460","4F",2014,"4F",2014,0,0
"461","4F",2014,"N1B",2014,0.333333333333333,0.614335317460318
"462","4F",2014,"N20B",2014,0.352941176470588,0.50041482300885
"463","4F",2014,"N4A",2014,0.5,0.706861413043478
"464","4F",2014,"N4D",2014,0.444444444444444,0.692622950819672
"465","4F",2015,"4F",2015,0,0
