Species.watershed,Watershed_name,Species,numyears,percyears,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,countblocks,trend,classification,group
Melanoplus scudderi.20B,20B,Melanoplus scudderi,19,0.89,0.7876317623840547,0.5,0.3333333333333333,0.13621474210639106,7,4,0,Random,Undetermined
Mermiria bivittata.20B,20B,Mermiria bivittata,19,0.79,0.8274720060191045,0.4,0.5555555555555556,0.7650816999385301,11,6,0,Random,Undetermined
Mermiria picta.20B,20B,Mermiria picta,19,0.53,0.9999999999999998,0.4,0.4444444444444444,0.8001776189233737,11,6,0,Random,Undetermined
Opeia obscura.20B,20B,Opeia obscura,19,0.10999999999999999,0.5029952545024349,0.2,0,1.5821129522314477e-4,1,1,0,Clumped,Non-directional
Orphulella speciosa.20B,20B,Orphulella speciosa,19,0.95,1,0.5,0.4444444444444444,0.12073001534261926,7,4,0,Random,Undetermined
Paratylotropidia brunneri.20B,20B,Paratylotropidia brunneri,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Phoetaliotes nebrascensis.20B,20B,Phoetaliotes nebrascensis,19,1,0.8274720060191045,0.4,0.5555555555555556,0.12073001534261926,7,4,0,Random,Undetermined
Pseudopomala brachyptera.20B,20B,Pseudopomala brachyptera,19,0.26,0.05122950962636567,0.5,0,0.003409436222451953,3,2,0,Recurrent,Non-directional
Syrbula admirabilis.20B,20B,Syrbula admirabilis,19,0.84,0.5084692874662828,0.3,0.5555555555555556,0.13621474210639106,7,4,0,Random,Undetermined
Arphia xanthoptera.4B,4B,Arphia xanthoptera,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.4803216304565977,5,3,0,Random,Undetermined
Boopedon auriventris.4B,4B,Boopedon auriventris,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.002104287745235738,2,2,0,Recurrent,Non-directional
Brachystola magna.4B,4B,Brachystola magna,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Chortophaga viridifasciata.4B,4B,Chortophaga viridifasciata,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.013727685530756891,2,2,0,Recurrent,Non-directional
Hadrotettix trifasciatus.4B,4B,Hadrotettix trifasciatus,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Hesperotettix speciosus.4B,4B,Hesperotettix speciosus,19,0.6799999999999999,1,0.3,0.3333333333333333,0.2522311962198547,7,4,0,Random,Undetermined
Hesperotettix viridis.4B,4B,Hesperotettix viridis,19,0.37,1,0.4,0.3333333333333333,0.1739814123217537,7,4,0,Random,Undetermined
Hippiscus ocelote.4B,4B,Hippiscus ocelote,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Hypochlora alba.4B,4B,Hypochlora alba,19,0.89,0.25505495276526413,0.3,0.6666666666666666,0.049998538814996656,6,3,0,Recurrent,Non-directional
Melanoplus bivittatus.4B,4B,Melanoplus bivittatus,19,0.53,0.5084692874662828,0.3,0.5555555555555556,0.6395741176473173,10,6,0,Random,Undetermined
Melanoplus confusus.4B,4B,Melanoplus confusus,19,0.10999999999999999,0.5029952545024349,0.2,0,1.5821129522314477e-4,1,1,0,Clumped,Non-directional
Melanoplus keeleri.4B,4B,Melanoplus keeleri,19,1,0.8274720060191045,0.4,0.5555555555555556,0.41126187826070393,9,5,0,Random,Undetermined
Melanoplus sanguinipes.4B,4B,Melanoplus sanguinipes,19,0.20999999999999996,0.6564077338807046,0.3,0.1111111111111111,0.6918106102047528,7,4,0,Random,Undetermined
Melanoplus scudderi.4B,4B,Melanoplus scudderi,19,0.89,0.8274720060191045,0.4,0.5555555555555556,0.12073001534261926,7,4,0,Random,Undetermined
Mermiria bivittata.4B,4B,Mermiria bivittata,19,0.63,0.8607163504269453,0.3,0.4444444444444444,0.0068117446121075936,4,3,0,Recurrent,Non-directional
Orphulella speciosa.4B,4B,Orphulella speciosa,19,0.95,0.7876317623840547,0.5,0.3333333333333333,0.13621474210639106,7,4,0,Random,Undetermined
Phoetaliotes nebrascensis.4B,4B,Phoetaliotes nebrascensis,19,1,0.8274720060191045,0.4,0.5555555555555556,0.12073001534261926,7,4,0,Random,Undetermined
Syrbula admirabilis.4B,4B,Syrbula admirabilis,19,0.53,0.07042434942420052,0,0.4444444444444444,0.007593885669016174,3,2,0,Recurrent,Non-directional
Ageneotettix deorum.4F,4F,Ageneotettix deorum,19,0.16000000000000003,0.24581503304262373,0.3,0,0.4803216304565977,5,3,0,Random,Undetermined
Arphia simplex.4F,4F,Arphia simplex,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Arphia xanthoptera.4F,4F,Arphia xanthoptera,19,0.26,0.890799668115198,0.2,0.3333333333333333,0.4097531517012759,7,4,0,Random,Undetermined
Boopedon auriventris.4F,4F,Boopedon auriventris,19,0.26,1,0.3,0.2222222222222222,0.07120551076079551,5,3,0,Random,Undetermined
Chortophaga viridifasciata.4F,4F,Chortophaga viridifasciata,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Hadrotettix trifasciatus.4F,4F,Hadrotettix trifasciatus,19,0.10999999999999999,0.5029952545024349,0.2,0,0.2094033221223369,3,2,0,Random,Undetermined
Hesperotettix speciosus.4F,4F,Hesperotettix speciosus,19,0.63,0.890799668115198,0.2,0.3333333333333333,0.9484341588113441,10,5,0,Random,Undetermined
Hesperotettix viridis.4F,4F,Hesperotettix viridis,19,0.26,1,0.3,0.2222222222222222,0.07120551076079551,5,3,0,Random,Undetermined
Hypochlora alba.4F,4F,Hypochlora alba,19,0.74,0.25505495276526413,0.3,0.6666666666666666,0.049998538814996656,6,4,0,Recurrent,Non-directional
Melanoplus bivittatus.4F,4F,Melanoplus bivittatus,19,0.5800000000000001,0.9999999999999998,0.4,0.4444444444444444,0.019350345834614875,5,3,0,Recurrent,Non-directional
Melanoplus confusus.4F,4F,Melanoplus confusus,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Melanoplus differentialis.4F,4F,Melanoplus differentialis,19,0.10999999999999999,0.5029952545024349,0.2,0,0.2094033221223369,3,2,0,Random,Undetermined
Melanoplus femurrubrum.4F,4F,Melanoplus femurrubrum,19,0.79,0.8274720060191045,0.4,0.5555555555555556,0.41126187826070393,9,5,0,Random,Undetermined
Melanoplus keeleri.4F,4F,Melanoplus keeleri,19,0.95,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Melanoplus sanguinipes.4F,4F,Melanoplus sanguinipes,19,0.10999999999999999,0.5029952545024349,0.2,0,0.2094033221223369,3,2,0,Random,Undetermined
Melanoplus scudderi.4F,4F,Melanoplus scudderi,19,0.79,1,0.5,0.4444444444444444,0.41126187826070393,9,5,0,Random,Undetermined
Mermiria bivittata.4F,4F,Mermiria bivittata,19,0.79,0.7876317623840547,0.5,0.3333333333333333,0.4492270192577427,9,5,0,Random,Undetermined
Mermiria picta.4F,4F,Mermiria picta,19,0.31999999999999995,1,0.3,0.3333333333333333,0.2522311962198547,7,4,0,Random,Undetermined
Opeia obscura.4F,4F,Opeia obscura,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Orphulella speciosa.4F,4F,Orphulella speciosa,19,1,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Phoetaliotes nebrascensis.4F,4F,Phoetaliotes nebrascensis,19,1,0.8274720060191045,0.4,0.5555555555555556,0.12073001534261926,7,4,0,Random,Undetermined
Syrbula admirabilis.4F,4F,Syrbula admirabilis,19,0.79,1,0.4,0.3333333333333333,0.5320591173824899,9,5,0,Random,Undetermined
Ageneotettix deorum.N1B,N1B,Ageneotettix deorum,19,0.63,0.1047008150396407,0.7,0.2222222222222222,0.0010867664997972844,3,2,0,Recurrent,Non-directional
Arphia conspersa.N1B,N1B,Arphia conspersa,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Arphia simplex.N1B,N1B,Arphia simplex,19,0.31999999999999995,0.5154941021428626,0.2,0.4444444444444444,0.8381092898671108,10,6,0,Random,Undetermined
Arphia xanthoptera.N1B,N1B,Arphia xanthoptera,19,0.37,0.4371307112679661,0.5,0.2222222222222222,0.1739814123217537,7,4,0,Random,Undetermined
Chortophaga viridifasciata.N1B,N1B,Chortophaga viridifasciata,19,0.26,1,0.3,0.2222222222222222,0.4097531517012759,7,4,0,Random,Undetermined
Eritettix simplex.N1B,N1B,Eritettix simplex,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Hesperotettix speciosus.N1B,N1B,Hesperotettix speciosus,19,0.89,0.5084692874662828,0.3,0.5555555555555556,0.13621474210639106,7,4,0,Random,Undetermined
Hesperotettix viridis.N1B,N1B,Hesperotettix viridis,19,0.5800000000000001,1,0.3,0.3333333333333333,0.038339730793647275,5,3,0,Recurrent,Non-directional
Hippiscus ocelote.N1B,N1B,Hippiscus ocelote,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.027145425154787246,3,2,0,Recurrent,Non-directional
Hypochlora alba.N1B,N1B,Hypochlora alba,19,1,0.8274720060191045,0.4,0.5555555555555556,0.7650816999385301,11,6,0,Random,Undetermined
Melanoplus bivittatus.N1B,N1B,Melanoplus bivittatus,19,0.6799999999999999,0.9999999999999998,0.4,0.4444444444444444,0.13621474210639106,7,4,0,Random,Undetermined
Melanoplus confusus.N1B,N1B,Melanoplus confusus,19,0.42000000000000004,0.7876317623840547,0.5,0.3333333333333333,0.13621474210639106,7,4,0,Random,Undetermined
Melanoplus femurrubrum.N1B,N1B,Melanoplus femurrubrum,19,1,0.48251263663164223,0.6,0.3333333333333333,0.049998538814996656,6,3,0,Recurrent,Non-directional
Melanoplus keeleri.N1B,N1B,Melanoplus keeleri,19,1,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Melanoplus packardii.N1B,N1B,Melanoplus packardii,19,0.37,0.08370936994038938,0.6,0.1111111111111111,0.1739814123217537,7,4,0,Random,Undetermined
Melanoplus sanguinipes.N1B,N1B,Melanoplus sanguinipes,19,0.63,0.08370936994038938,0.6,0.1111111111111111,0.025141823576826948,5,3,0,Recurrent,Non-directional
Melanoplus scudderi.N1B,N1B,Melanoplus scudderi,19,0.89,0.4371307112679661,0.5,0.2222222222222222,0.1739814123217537,7,4,0,Random,Undetermined
Mermiria bivittata.N1B,N1B,Mermiria bivittata,19,0.53,0.7352429892819273,0.4,0.2222222222222222,0.038339730793647275,5,3,0,Recurrent,Non-directional
Mermiria picta.N1B,N1B,Mermiria picta,19,0.47,0.48251263663164223,0.6,0.3333333333333333,0.7650816999385301,11,6,0,Random,Undetermined
Opeia obscura.N1B,N1B,Opeia obscura,19,0.10999999999999999,0.5029952545024349,0.2,0,1.5821129522314477e-4,1,1,0,Clumped,Non-directional
Orphulella speciosa.N1B,N1B,Orphulella speciosa,19,1,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Pardalophora haldemani.N1B,N1B,Pardalophora haldemani,19,0.31999999999999995,0.7352429892819273,0.4,0.2222222222222222,0.038339730793647275,5,3,0,Recurrent,Non-directional
Phoetaliotes nebrascensis.N1B,N1B,Phoetaliotes nebrascensis,19,1,0.48251263663164223,0.6,0.3333333333333333,0.017071011582221376,5,3,0,Recurrent,Non-directional
Pseudopomala brachyptera.N1B,N1B,Pseudopomala brachyptera,19,0.10999999999999999,0.5029952545024349,0.2,0,1.5821129522314477e-4,1,1,0,Clumped,Non-directional
Schistocerca lineata.N1B,N1B,Schistocerca lineata,19,0.26,1,0.3,0.2222222222222222,0.07120551076079551,5,3,0,Random,Undetermined
Syrbula admirabilis.N1B,N1B,Syrbula admirabilis,19,1,0.9999999999999998,0.4,0.4444444444444444,0.4492270192577427,9,5,0,Random,Undetermined
Ageneotettix deorum.N20B,N20B,Ageneotettix deorum,19,0.37,1,0.4,0.3333333333333333,0.025141823576826948,5,3,0,Recurrent,Non-directional
Boopedon auriventris.N20B,N20B,Boopedon auriventris,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.027145425154787246,3,2,0,Recurrent,Non-directional
Chortophaga viridifasciata.N20B,N20B,Chortophaga viridifasciata,19,0.31999999999999995,0.10126054569845366,0.1,0.5555555555555556,0.010124899570946632,4,3,0,Recurrent,Non-directional
Hesperotettix speciosus.N20B,N20B,Hesperotettix speciosus,19,1,0.11142217802581045,0.2,0.6666666666666666,0.001193833358339237,3,2,0,Recurrent,Non-directional
Hesperotettix viridis.N20B,N20B,Hesperotettix viridis,19,0.37,0.8607163504269453,0.3,0.4444444444444444,0.0068117446121075936,4,3,0,Recurrent,Non-directional
Hypochlora alba.N20B,N20B,Hypochlora alba,19,1,0.5084692874662828,0.3,0.5555555555555556,0.8001776189233737,11,6,0,Random,Undetermined
Melanoplus bivittatus.N20B,N20B,Melanoplus bivittatus,19,0.84,0.890799668115198,0.2,0.3333333333333333,0.07120551076079551,5,3,0,Random,Undetermined
Melanoplus confusus.N20B,N20B,Melanoplus confusus,19,0.37,1,0.4,0.3333333333333333,0.5320591173824899,9,5,0,Random,Undetermined
Melanoplus femurrubrum.N20B,N20B,Melanoplus femurrubrum,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.5984056207050737,10,5,0,Random,Undetermined
Melanoplus keeleri.N20B,N20B,Melanoplus keeleri,19,0.95,1,0.5,0.4444444444444444,0.12073001534261926,7,4,0,Random,Undetermined
Melanoplus sanguinipes.N20B,N20B,Melanoplus sanguinipes,19,0.5800000000000001,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Melanoplus scudderi.N20B,N20B,Melanoplus scudderi,19,0.74,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Mermiria bivittata.N20B,N20B,Mermiria bivittata,19,0.5800000000000001,0.7876317623840547,0.5,0.3333333333333333,0.4492270192577427,9,5,0,Random,Undetermined
Mermiria picta.N20B,N20B,Mermiria picta,19,0.31999999999999995,0.7352429892819273,0.4,0.2222222222222222,0.2522311962198547,7,4,0,Random,Undetermined
Orphulella speciosa.N20B,N20B,Orphulella speciosa,19,1,1,0.5,0.4444444444444444,0.12073001534261926,7,4,0,Random,Undetermined
Phoetaliotes nebrascensis.N20B,N20B,Phoetaliotes nebrascensis,19,1,0.48251263663164223,0.6,0.3333333333333333,0.017071011582221376,5,3,0,Recurrent,Non-directional
Syrbula admirabilis.N20B,N20B,Syrbula admirabilis,19,0.95,0.5154941021428626,0.2,0.4444444444444444,0.2522311962198547,7,4,0,Random,Undetermined
Ageneotettix deorum.N4A,N4A,Ageneotettix deorum,19,0.79,0.7876317623840547,0.5,0.3333333333333333,0.001193833358339237,3,2,0,Recurrent,Non-directional
Arphia conspersa.N4A,N4A,Arphia conspersa,19,0.10999999999999999,0.5029952545024349,0.2,0,0.2094033221223369,3,2,0,Random,Undetermined
Arphia simplex.N4A,N4A,Arphia simplex,19,0.26,0.890799668115198,0.2,0.3333333333333333,0.8438748442859546,9,5,0,Random,Undetermined
Arphia xanthoptera.N4A,N4A,Arphia xanthoptera,19,0.53,0.36486709145911467,0.4,0.1111111111111111,0.4097531517012759,7,4,0,Random,Undetermined
Chortophaga viridifasciata.N4A,N4A,Chortophaga viridifasciata,19,0.31999999999999995,0.7352429892819273,0.4,0.2222222222222222,0.038339730793647275,5,3,0,Recurrent,Non-directional
Eritettix simplex.N4A,N4A,Eritettix simplex,19,0.26,1,0.3,0.2222222222222222,0.07120551076079551,5,3,0,Random,Undetermined
Hadrotettix trifasciatus.N4A,N4A,Hadrotettix trifasciatus,19,0.20999999999999996,0.11597300531015348,0.4,0,4.964915631141725e-5,1,1,0,Clumped,Non-directional
Hesperotettix speciosus.N4A,N4A,Hesperotettix speciosus,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.017071011582221376,5,3,0,Recurrent,Non-directional
Hesperotettix viridis.N4A,N4A,Hesperotettix viridis,19,0.47,0.8274720060191045,0.4,0.5555555555555556,0.24264404028908473,8,5,0,Random,Undetermined
Hippiscus ocelote.N4A,N4A,Hippiscus ocelote,19,0.26,0.36486709145911467,0.4,0.1111111111111111,0.07120551076079551,5,3,0,Random,Undetermined
Hypochlora alba.N4A,N4A,Hypochlora alba,19,0.89,0.8274720060191045,0.4,0.5555555555555556,0.017071011582221376,5,3,0,Recurrent,Non-directional
Melanoplus bivittatus.N4A,N4A,Melanoplus bivittatus,19,0.6799999999999999,0.8274720060191045,0.4,0.5555555555555556,0.41126187826070393,9,5,0,Random,Undetermined
Melanoplus confusus.N4A,N4A,Melanoplus confusus,19,0.42000000000000004,0.23014036204786886,0.6,0.2222222222222222,0.13621474210639106,7,4,0,Random,Undetermined
Melanoplus femurrubrum.N4A,N4A,Melanoplus femurrubrum,19,1,0.8274720060191045,0.4,0.5555555555555556,0.24264404028908473,8,4,0,Random,Undetermined
Melanoplus keeleri.N4A,N4A,Melanoplus keeleri,19,0.95,0.23014036204786886,0.6,0.2222222222222222,0.019350345834614875,5,3,0,Recurrent,Non-directional
Melanoplus packardii.N4A,N4A,Melanoplus packardii,19,0.53,0.6564077338807046,0.3,0.1111111111111111,0.6918106102047528,7,4,0,Random,Undetermined
Melanoplus sanguinipes.N4A,N4A,Melanoplus sanguinipes,19,0.74,0.9999999999999998,0.4,0.4444444444444444,0.05677685322398764,6,4,0,Random,Undetermined
Melanoplus scudderi.N4A,N4A,Melanoplus scudderi,19,0.95,0.7876317623840547,0.5,0.3333333333333333,0.8001776189233737,11,6,0,Random,Undetermined
Mermiria bivittata.N4A,N4A,Mermiria bivittata,19,0.63,0.08370936994038938,0.6,0.1111111111111111,0.1739814123217537,7,4,0,Random,Undetermined
Mermiria picta.N4A,N4A,Mermiria picta,19,0.47,0.48251263663164223,0.6,0.3333333333333333,0.7650816999385301,11,6,0,Random,Undetermined
Opeia obscura.N4A,N4A,Opeia obscura,19,0.16000000000000003,0.24581503304262373,0.3,0,0.027145425154787246,3,2,0,Recurrent,Non-directional
Orphulella speciosa.N4A,N4A,Orphulella speciosa,19,1,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Phoetaliotes nebrascensis.N4A,N4A,Phoetaliotes nebrascensis,19,1,0.1047008150396407,0.7,0.2222222222222222,0.017071011582221376,5,3,0,Recurrent,Non-directional
Syrbula admirabilis.N4A,N4A,Syrbula admirabilis,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.7650816999385301,11,6,0,Random,Undetermined
Ageneotettix deorum.N4D,N4D,Ageneotettix deorum,19,0.79,0.48251263663164223,0.6,0.3333333333333333,0.0010867664997972844,3,2,0,Recurrent,Non-directional
Arphia conspersa.N4D,N4D,Arphia conspersa,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.027145425154787246,3,2,0,Recurrent,Non-directional
Arphia simplex.N4D,N4D,Arphia simplex,19,0.31999999999999995,0.5154941021428626,0.2,0.4444444444444444,0.4537928472806693,8,5,0,Random,Undetermined
Chortophaga viridifasciata.N4D,N4D,Chortophaga viridifasciata,19,0.16000000000000003,0.9207589109365504,0.1,0.2222222222222222,0.16183908045350825,4,3,0,Random,Undetermined
Eritettix simplex.N4D,N4D,Eritettix simplex,19,0.20999999999999996,0.6564077338807046,0.3,0.1111111111111111,0.6918106102047528,7,4,0,Random,Undetermined
Hadrotettix trifasciatus.N4D,N4D,Hadrotettix trifasciatus,19,0.20999999999999996,0.6564077338807046,0.3,0.1111111111111111,0.1676632257762835,5,3,0,Random,Undetermined
Hesperotettix speciosus.N4D,N4D,Hesperotettix speciosus,19,0.79,0.8274720060191045,0.4,0.5555555555555556,0.7650816999385301,11,6,0,Random,Undetermined
Hippiscus ocelote.N4D,N4D,Hippiscus ocelote,19,0.20999999999999996,0.9999999999999998,0.2,0.2222222222222222,0.04497557167344744,4,3,0,Recurrent,Non-directional
Hypochlora alba.N4D,N4D,Hypochlora alba,19,0.79,0.9999999999999998,0.4,0.4444444444444444,0.019350345834614875,5,3,0,Recurrent,Non-directional
Melanoplus bivittatus.N4D,N4D,Melanoplus bivittatus,19,0.6799999999999999,0.5084692874662828,0.3,0.5555555555555556,0.05677685322398764,6,4,0,Random,Undetermined
Melanoplus confusus.N4D,N4D,Melanoplus confusus,19,0.42000000000000004,0.7876317623840547,0.5,0.3333333333333333,0.13621474210639106,7,4,0,Random,Undetermined
Melanoplus femurrubrum.N4D,N4D,Melanoplus femurrubrum,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.41126187826070393,9,5,0,Random,Undetermined
Melanoplus keeleri.N4D,N4D,Melanoplus keeleri,19,1,0.48251263663164223,0.6,0.3333333333333333,0.12073001534261926,7,4,0,Random,Undetermined
Melanoplus packardii.N4D,N4D,Melanoplus packardii,19,0.37,1,0.4,0.3333333333333333,0.025141823576826948,5,3,0,Recurrent,Non-directional
Melanoplus sanguinipes.N4D,N4D,Melanoplus sanguinipes,19,0.63,0.48251263663164223,0.6,0.3333333333333333,0.017071011582221376,5,3,0,Recurrent,Non-directional
Melanoplus scudderi.N4D,N4D,Melanoplus scudderi,19,0.6799999999999999,0.25505495276526413,0.3,0.6666666666666666,0.41126187826070393,9,5,0,Random,Undetermined
Mermiria bivittata.N4D,N4D,Mermiria bivittata,19,0.74,0.9999999999999998,0.4,0.4444444444444444,0.2700870617817851,8,5,0,Random,Undetermined
Mermiria picta.N4D,N4D,Mermiria picta,19,0.53,0.6564077338807046,0.3,0.1111111111111111,0.1676632257762835,5,3,0,Random,Undetermined
Orphulella speciosa.N4D,N4D,Orphulella speciosa,19,1,0.8274720060191045,0.4,0.5555555555555556,0.12073001534261926,7,4,0,Random,Undetermined
Pardalophora haldemani.N4D,N4D,Pardalophora haldemani,19,0.47,0.1047008150396407,0.7,0.2222222222222222,0.017071011582221376,5,3,0,Recurrent,Non-directional
Phoetaliotes nebrascensis.N4D,N4D,Phoetaliotes nebrascensis,19,0.95,0.48251263663164223,0.6,0.3333333333333333,0.017071011582221376,5,3,0,Recurrent,Non-directional
Syrbula admirabilis.N4D,N4D,Syrbula admirabilis,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.12073001534261926,7,4,0,Random,Undetermined
Boopedon gracile.1D,1D,Boopedon gracile,19,0.050000000000000044,NA,NA,NA,NA,2,1,NA,Rare,Undetermined
Campylacantha olivacea.1D,1D,Campylacantha olivacea,19,0.63,1,0.5,0.4444444444444444,0.049998538814996656,6,3,0,Recurrent,Non-directional
Hesperotettix speciosus.1D,1D,Hesperotettix speciosus,19,0.37,0.2593316328514193,0.2,0.5555555555555556,0.33394321996291126,8,4,0,Random,Undetermined
Hesperotettix viridis.1D,1D,Hesperotettix viridis,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Melanoplus femurrubrum.1D,1D,Melanoplus femurrubrum,19,0.79,0.08370936994038938,0.6,0.1111111111111111,0.33394321996291126,8,4,0,Random,Undetermined
Melanoplus packardii.1D,1D,Melanoplus packardii,19,0.31999999999999995,0.5154941021428626,0.2,0.4444444444444444,0.4537928472806693,8,4,0,Random,Undetermined
Melanoplus sanguinipes.1D,1D,Melanoplus sanguinipes,19,0.10999999999999999,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,2,0,Random,Undetermined
Mermiria picta.1D,1D,Mermiria picta,19,0.42000000000000004,0.9999999999999998,0.4,0.4444444444444444,0.2700870617817851,8,4,0,Random,Undetermined
Schistocerca lineata.1D,1D,Schistocerca lineata,19,0.16000000000000003,0.9207589109365504,0.1,0.2222222222222222,0.027145425154787246,3,2,0,Recurrent,Non-directional
