"","Species.watershed","Watershed_name","Species","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"97","Phoetaliotes nebrascensis.N1B","N1B","Phoetaliotes nebrascensis",19,50,18,3,5,22,39,22,4,7,12,64,18,4,3,3,1,8,4
"98","Pseudopomala brachyptera.N1B","N1B","Pseudopomala brachyptera",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Schistocerca lineata.N1B","N1B","Schistocerca lineata",2,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0
"100","Syrbula admirabilis.N1B","N1B","Syrbula admirabilis",9,5,3,4,7,19,14,4,4,4,14,21,2,2,5,9,2,29,2
"101","Ageneotettix deorum.N20B","N20B","Ageneotettix deorum",1,1,10,0,2,0,0,0,0,0,1,21,2,0,0,0,0,0,0
"102","Boopedon auriventris.N20B","N20B","Boopedon auriventris",1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"103","Chortophaga viridifasciata.N20B","N20B","Chortophaga viridifasciata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2
"104","Hesperotettix speciosus.N20B","N20B","Hesperotettix speciosus",23,12,2,1,1,1,5,2,2,1,2,6,6,8,6,15,7,5,2
"105","Hesperotettix viridis.N20B","N20B","Hesperotettix viridis",2,29,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,1
"106","Hypochlora alba.N20B","N20B","Hypochlora alba",22,6,3,3,3,7,6,6,3,8,5,7,12,2,12,6,9,8,6
"107","Melanoplus bivittatus.N20B","N20B","Melanoplus bivittatus",14,10,2,2,1,1,1,1,0,0,2,33,9,0,2,1,2,3,2
"108","Melanoplus confusus.N20B","N20B","Melanoplus confusus",22,4,0,1,0,0,0,0,1,0,1,12,0,3,0,0,0,0,0
"109","Melanoplus femurrubrum.N20B","N20B","Melanoplus femurrubrum",18,20,26,29,16,0,35,31,9,11,59,106,38,3,22,18,35,21,6
"110","Melanoplus keeleri.N20B","N20B","Melanoplus keeleri",36,26,8,5,2,7,19,2,4,0,2,22,14,4,4,3,13,35,2
"111","Melanoplus sanguinipes.N20B","N20B","Melanoplus sanguinipes",7,1,3,4,3,4,9,0,0,0,0,0,10,0,0,0,11,10,1
"112","Melanoplus scudderi.N20B","N20B","Melanoplus scudderi",20,9,0,4,0,5,12,5,2,6,6,17,4,0,1,0,2,12,0
"113","Mermiria bivittata.N20B","N20B","Mermiria bivittata",9,7,3,0,0,3,1,0,1,4,2,0,2,0,2,0,0,1,0
"114","Mermiria picta.N20B","N20B","Mermiria picta",1,14,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0
"115","Orphulella speciosa.N20B","N20B","Orphulella speciosa",33,36,24,14,18,27,49,21,11,10,43,104,34,7,6,18,29,21,17
"116","Phoetaliotes nebrascensis.N20B","N20B","Phoetaliotes nebrascensis",145,56,44,40,25,48,55,59,14,76,62,94,53,7,17,5,5,11,4
"117","Syrbula admirabilis.N20B","N20B","Syrbula admirabilis",10,9,0,6,5,9,15,9,1,5,21,31,7,2,9,2,10,14,7
"118","Ageneotettix deorum.N4A","N4A","Ageneotettix deorum",8,16,15,10,10,6,5,1,2,2,8,48,24,0,0,0,6,1,0
"119","Arphia conspersa.N4A","N4A","Arphia conspersa",4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"120","Arphia simplex.N4A","N4A","Arphia simplex",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"121","Arphia xanthoptera.N4A","N4A","Arphia xanthoptera",2,1,0,0,0,1,2,6,1,5,1,0,1,0,0,2,0,0,0
"122","Chortophaga viridifasciata.N4A","N4A","Chortophaga viridifasciata",6,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"123","Eritettix simplex.N4A","N4A","Eritettix simplex",1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0
"124","Hadrotettix trifasciatus.N4A","N4A","Hadrotettix trifasciatus",9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Hesperotettix speciosus.N4A","N4A","Hesperotettix speciosus",14,5,1,1,0,7,9,6,3,3,1,15,7,6,9,17,3,2,3
"126","Hesperotettix viridis.N4A","N4A","Hesperotettix viridis",14,10,0,4,0,0,0,0,0,1,2,12,4,0,0,0,1,0,1
"127","Hippiscus ocelote.N4A","N4A","Hippiscus ocelote",3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"128","Hypochlora alba.N4A","N4A","Hypochlora alba",18,1,1,0,1,6,9,9,3,4,0,3,8,5,13,25,5,3,1
"129","Melanoplus bivittatus.N4A","N4A","Melanoplus bivittatus",17,28,1,0,0,2,0,3,0,4,6,44,10,1,5,0,0,4,2
"130","Melanoplus confusus.N4A","N4A","Melanoplus confusus",207,4,3,3,0,1,1,0,0,0,0,4,0,2,0,0,0,0,0
"131","Melanoplus femurrubrum.N4A","N4A","Melanoplus femurrubrum",11,45,30,14,7,18,4,44,15,24,21,56,11,6,12,48,28,40,16
"132","Melanoplus keeleri.N4A","N4A","Melanoplus keeleri",244,105,57,37,44,39,16,16,1,5,3,25,19,11,0,24,24,26,11
"133","Melanoplus packardii.N4A","N4A","Melanoplus packardii",9,1,2,1,0,1,11,0,0,0,1,8,0,0,0,0,1,1,0
"134","Melanoplus sanguinipes.N4A","N4A","Melanoplus sanguinipes",6,8,1,4,4,1,2,1,0,2,0,0,5,0,1,0,3,5,5
"135","Melanoplus scudderi.N4A","N4A","Melanoplus scudderi",60,13,0,8,1,9,5,6,1,5,2,10,10,3,3,9,3,1,2
"136","Mermiria bivittata.N4A","N4A","Mermiria bivittata",8,17,4,2,1,3,0,0,1,3,1,0,0,1,0,2,0,0,1
"137","Mermiria picta.N4A","N4A","Mermiria picta",3,11,1,0,1,0,0,6,1,0,1,0,0,2,0,3,0,0,0
"138","Opeia obscura.N4A","N4A","Opeia obscura",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","Orphulella speciosa.N4A","N4A","Orphulella speciosa",316,169,83,45,34,67,40,28,14,27,24,129,23,11,11,27,55,35,10
"140","Phoetaliotes nebrascensis.N4A","N4A","Phoetaliotes nebrascensis",100,53,36,22,28,36,13,6,2,7,11,80,10,4,17,7,7,3,2
"141","Syrbula admirabilis.N4A","N4A","Syrbula admirabilis",20,4,5,11,9,29,17,7,4,4,11,56,2,0,15,5,10,17,4
"142","Ageneotettix deorum.N4D","N4D","Ageneotettix deorum",5,11,12,5,5,15,4,3,1,3,20,35,14,0,0,0,1,1,0
"143","Arphia conspersa.N4D","N4D","Arphia conspersa",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"144","Arphia simplex.N4D","N4D","Arphia simplex",3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"145","Chortophaga viridifasciata.N4D","N4D","Chortophaga viridifasciata",4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"146","Eritettix simplex.N4D","N4D","Eritettix simplex",3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"147","Hadrotettix trifasciatus.N4D","N4D","Hadrotettix trifasciatus",8,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"148","Hesperotettix speciosus.N4D","N4D","Hesperotettix speciosus",51,9,2,2,0,7,4,5,0,1,0,6,2,17,1,16,8,6,0
"149","Hippiscus ocelote.N4D","N4D","Hippiscus ocelote",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
"150","Hypochlora alba.N4D","N4D","Hypochlora alba",16,5,0,0,0,16,9,22,2,1,7,4,8,10,14,13,7,3,0
"151","Melanoplus bivittatus.N4D","N4D","Melanoplus bivittatus",5,5,1,0,2,0,1,4,0,1,4,19,6,0,0,0,2,9,3
"152","Melanoplus confusus.N4D","N4D","Melanoplus confusus",83,1,2,3,0,0,3,0,0,0,1,3,0,4,0,0,0,0,0
"153","Melanoplus femurrubrum.N4D","N4D","Melanoplus femurrubrum",30,86,16,3,6,0,42,69,9,5,58,69,21,12,21,13,20,30,1
"154","Melanoplus keeleri.N4D","N4D","Melanoplus keeleri",193,85,24,20,9,22,32,12,1,5,6,26,15,7,7,11,28,28,2
"155","Melanoplus packardii.N4D","N4D","Melanoplus packardii",2,3,0,0,0,0,1,4,0,0,1,4,1,0,0,0,0,0,0
"156","Melanoplus sanguinipes.N4D","N4D","Melanoplus sanguinipes",29,4,4,9,12,11,1,1,0,1,0,0,3,0,0,0,13,10,0
"157","Melanoplus scudderi.N4D","N4D","Melanoplus scudderi",26,6,0,1,0,1,2,8,0,0,4,1,3,0,3,7,5,5,0
"158","Mermiria bivittata.N4D","N4D","Mermiria bivittata",16,7,0,1,2,1,0,1,1,4,8,0,1,0,1,4,0,2,2
"159","Mermiria picta.N4D","N4D","Mermiria picta",9,17,0,0,0,0,1,2,0,1,1,9,0,1,0,1,1,0,0
"160","Orphulella speciosa.N4D","N4D","Orphulella speciosa",212,109,8,4,5,12,21,17,10,11,24,83,18,8,3,11,14,30,6
"161","Pardalophora haldemani.N4D","N4D","Pardalophora haldemani",1,3,1,2,2,1,0,0,0,1,0,2,2,0,0,0,0,0,0
"162","Phoetaliotes nebrascensis.N4D","N4D","Phoetaliotes nebrascensis",95,54,6,5,4,0,7,10,7,22,10,22,6,1,1,7,5,3,1
"163","Syrbula admirabilis.N4D","N4D","Syrbula admirabilis",16,2,3,2,3,9,25,22,6,3,19,57,1,1,0,11,9,39,1
"164","Boopedon gracile.1D","1D","Boopedon gracile",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Campylacantha olivacea.1D","1D","Campylacantha olivacea",0,13,5,0,7,5,36,47,14,8,30,77,9,0,0,0,12,0,0
"166","Hesperotettix speciosus.1D","1D","Hesperotettix speciosus",0,1,1,0,0,0,0,0,0,0,0,3,0,2,17,9,0,1,0
"167","Hesperotettix viridis.1D","1D","Hesperotettix viridis",0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"168","Melanoplus femurrubrum.1D","1D","Melanoplus femurrubrum",0,20,4,6,0,0,5,15,1,3,1,10,2,0,1,2,2,1,1
"169","Melanoplus packardii.1D","1D","Melanoplus packardii",0,2,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,1,0
"170","Melanoplus sanguinipes.1D","1D","Melanoplus sanguinipes",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"171","Mermiria picta.1D","1D","Mermiria picta",0,10,0,0,0,0,1,3,0,1,4,0,0,0,0,1,9,2,0
"172","Schistocerca lineata.1D","1D","Schistocerca lineata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"173","Campylacantha olivacea.20B","20B","Campylacantha olivacea",0,6,12,1,5,21,35,30,5,5,19,26,2,0,0,0,21,1,0
"174","Schistocerca lineata.20B","20B","Schistocerca lineata",0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"175","Campylacantha olivacea.4B","4B","Campylacantha olivacea",0,8,26,4,22,9,15,21,3,9,41,41,3,0,0,0,38,4,2
"176","Melanoplus femurrubrum.4B","4B","Melanoplus femurrubrum",0,6,2,4,1,1,1,6,0,5,2,77,5,1,3,31,34,3,1
"177","Melanoplus packardii.4B","4B","Melanoplus packardii",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Mermiria picta.4B","4B","Mermiria picta",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"179","Pardalophora haldemani.4B","4B","Pardalophora haldemani",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"180","Pseudopomala brachyptera.4B","4B","Pseudopomala brachyptera",0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0
"181","Boopedon gracile.4F","4F","Boopedon gracile",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"182","Melanoplus packardii.4F","4F","Melanoplus packardii",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Pseudopomala brachyptera.4F","4F","Pseudopomala brachyptera",0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"184","Boopedon gracile.N1B","N1B","Boopedon gracile",0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
"185","Campylacantha olivacea.N1B","N1B","Campylacantha olivacea",0,51,95,9,21,84,92,117,18,31,51,20,25,0,0,0,23,7,3
"186","Hadrotettix trifasciatus.N1B","N1B","Hadrotettix trifasciatus",0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
"187","Arphia xanthoptera.N20B","N20B","Arphia xanthoptera",0,2,0,2,1,0,0,1,1,2,5,0,0,0,0,3,0,2,0
"188","Boopedon gracile.N20B","N20B","Boopedon gracile",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
"189","Campylacantha olivacea.N20B","N20B","Campylacantha olivacea",0,9,35,17,13,34,49,65,12,20,24,40,30,0,0,0,29,4,5
"190","Hippiscus ocelote.N20B","N20B","Hippiscus ocelote",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","Melanoplus packardii.N20B","N20B","Melanoplus packardii",0,2,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"192","Pardalophora haldemani.N20B","N20B","Pardalophora haldemani",0,1,0,1,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0
"193","Pseudopomala brachyptera.N20B","N20B","Pseudopomala brachyptera",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","Campylacantha olivacea.N4A","N4A","Campylacantha olivacea",0,13,30,20,13,33,68,83,19,17,6,37,47,0,0,1,39,2,16
"195","Pardalophora haldemani.N4A","N4A","Pardalophora haldemani",0,1,0,4,13,5,0,0,0,4,0,11,1,0,0,0,0,0,0
"196","Pseudopomala brachyptera.N4A","N4A","Pseudopomala brachyptera",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Arphia xanthoptera.N4D","N4D","Arphia xanthoptera",0,1,0,0,0,2,1,3,0,3,1,0,0,1,1,2,1,0,0
