Watershed,Date,Type,Year
N4A,2020-03-06,PP,2020
N1A,2020-04-07,PP,2020
N1A,2020-04-07,PP,2020
N1B,2020-04-07,PP,2020
1D,2020-04-15,PP,2020
20C,2020-11-03,WU,2020
4A,2021-04-03,WU,2021
4B,2021-04-03,WP,2021
N1A,2021-04-12,PP,2021
N1A,2021-04-12,PP,2021
N20B,2021-04-12,PP,2021
N20A,2021-04-12,PP,2021
N4D,2021-04-12,PP,2021
N1B,2021-04-12,PP,2021
1D,2021-04-22,PP,2021
N20A,2022-03-02,PP,2022
N1A,2022-03-02,PP,2022
N1A,2022-03-02,PP,2022
N1B,2022-03-28,PP,2022
1D,2022-04-11,PP,2022
N20B,2022-04-11,PP,2022
4A,2022-04-21,PP,2022
