"","AOU_code","Watershed_name","Species","numyears","numpresent","percyears","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","chiPval","chi_fearly","chi_flate","runsPval","numtransitions","trend","classification","Common_name","Order","Family","Genus","species","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"11","DOWO","N4D","DOWO",18,3,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.205903210732068,0,0.333333333333333,0.17827616888363,4,0,"Random","Downy Woodpecker","Piciformes","Picidae","Dryobates","pubescens",3972,"Picidae","Piciformes","AVIBASE-1B2A6386",11,5,6,0,5,17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27,58.6,25.6,"Dunning",NA,"NO",NA,NA,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",24.53,68.3,48.23,-104.67,12800223.82
"12","EAKI","N4D","EAKI",18,5,0.277777777777778,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0352965968414081,0.555555555555556,0,0.418962955306326,5,-1,"Decreasing","Eastern Kingbird","Passeriformes","Tyrannidae","Tyrannus","tyrannus",5734,"Tyrannidae","Passeriformes","AVIBASE-082D833C",10,2,3,5,4,21.5,14.8,8.2,6.5,18.5,116.7,38.6,77.2,33.3,87.6,39.9,"Dunning",NA,"NO",NA,NA,"Woodland",2,3,"Carnivore","Invertivore","Insessorial",24.95,65.28,45.77,-98.88,9124093.16
"13","EAME","N4D","EAME",18,15,0.833333333333333,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0.205903210732068,1,0.666666666666667,0.17827616888363,4,0,"Random","Eastern Meadowlark","Passeriformes","Icteridae","Sturnella","magna",10451,"Icteridae","Passeriformes","AVIBASE-27410227",13,4,8,1,6,33.5,20,6.1,8.2,39.8,108.1,28.4,86.1,24.8,67.4,91.8,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Invertivore","Terrestrial",-2.91,50.71,30.39,-84.52,7031582.36
"14","FISP","N4D","FISP",18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Field Sparrow","Passeriformes","Passerellidae","Spizella","pusilla",10300,"Passerellidae","Passeriformes","AVIBASE-E23F6DE0",5,2,3,0,3,10.4,6.6,4.3,5.2,17.9,64.4,10.8,53.5,16.7,62,12.5,"Dunning",NA,"NO",NA,NA,"Grassland",2,2,"Omnivore","Granivore","Generalist",28.87,49.98,39.43,-90.09,3997616.97
"15","GCFL","N4D","GCFL",18,7,0.388888888888889,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0.333333333333333,0.444444444444444,0.590146231085106,9,0,"Random","Great Crested Flycatcher","Passeriformes","Tyrannidae","Myiarchus","crinitus",5763,"Tyrannidae","Passeriformes","AVIBASE-8D6D5F2B",18,4,6,8,4,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,21.4,88.1,32.1,"Dunning",NA,"NO",NA,NA,"Woodland",1,3,"Omnivore","Invertivore","Insessorial",8.61,55.55,40.77,-88.84,5137539.15
"16","GHOW","N4D","GHOW",18,3,0.166666666666667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.222222222222222,0.111111111111111,0.5,5,0,"Random","Great Horned Owl","Strigiformes","Strigidae","Bubo","virginianus",2926,"Strigidae","Strigiformes","AVIBASE-FC366114",4,2,2,0,4,44.7,24.7,17.8,25.4,75.4,371.2,112.7,258.5,30.4,197,1354.5,"Updated_literature","Earhart & Johnson (1970)","NO",NA,NA,"Forest",2,1,"Carnivore","Vertivore","Insessorial",-35.8,68.52,34.04,-94.19,24426738.59
"17","GRCA","N4D","GRCA",18,17,0.944444444444444,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889,1,0.638163195084119,2,0,"Random","Gray Catbird","Passeriformes","Mimidae","Dumetella","carolinensis",8816,"Mimidae","Passeriformes","AVIBASE-95B77F08",16,5,5,6,7,19.2,11.1,4,4.8,27.4,90.7,16.8,73.4,18.6,90.3,35.3,"Dunning",NA,"NO",NA,NA,"Shrubland",1,3,"Omnivore","Invertivore","Insessorial",28.33,55.06,42.61,-95.25,6824562.12
"18","GRSP","N4D","GRSP",18,17,0.944444444444444,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.888888888888889,0.638163195084119,2,0,"Random","Grasshopper Sparrow","Passeriformes","Passerellidae","Ammodramus","savannarum",10321,"Passerellidae","Passeriformes","AVIBASE-5BFFE091",6,3,3,0,5,13.8,8.2,4.5,6.1,20.1,58.2,12.3,46,21.1,41.4,17.6,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Omnivore","Invertivore","Generalist",3.31,51.58,40.3,-94.6,5240933.14
"19","HESP","N4D","HESP",18,1,0.0555555555555556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111111111,0,0.638163195084119,2,0,"Random","Henslow's Sparrow","Passeriformes","Passerellidae","Centronyx","henslowii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","HOWR","N4D","HOWR",18,5,0.277777777777778,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.333333333333333,0.222222222222222,0.862899004383905,9,0,"Random","House Wren","Passeriformes","Troglodytidae","Troglodytes","aedon",8598,"Troglodytidae","Passeriformes","AVIBASE-7B6E99A9",104,12,20,72,26,15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,"Dunning",NA,"NO",NA,NA,"Shrubland",3,1,"Carnivore","Invertivore","Insessorial",-55.72,59.66,4.96,-75.18,25653883.47
"21","MODO","N4D","MODO",18,12,0.666666666666667,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0.666666666666667,0.666666666666667,0.5,8,0,"Random","Mourning Dove","Columbiformes","Columbidae","Zenaida","macroura",717,"Columbidae","Columbiformes","AVIBASE-00124D98",15,5,7,3,6,19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,"Dunning",NA,"NO",NA,NA,"Human Modified",3,1,"Herbivore","Granivore","Terrestrial",7.45,56.32,39.64,-99.32,11131808.01
"22","NOBO","N4D","NOBO",18,17,0.944444444444444,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.888888888888889,1,0.638163195084119,2,0,"Random","Northern Bobwhite","Galliformes","Odontophoridae","Colinus","virginianus",153,"Odontophoridae","Galliformes","AVIBASE-91CCBC71",4,2,2,0,4,14.9,8.6,7,8.4,29.6,109.8,30.3,79.4,27.6,56.8,171.9,"Dunning",NA,"NO",NA,NA,"Human Modified",2,1,"Herbivore","Omnivore","Terrestrial",14.51,45.69,34.48,-91.61,4364464.18
"23","NOCA","N4D","NOCA",18,9,0.5,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0.444444444444444,0.555555555555556,0.686485453276831,10,0,"Random","Northern Cardinal","Passeriformes","Cardinalidae","Cardinalis","cardinalis",10744,"Cardinalidae","Passeriformes","AVIBASE-4E74AE22",64,24,40,0,8,17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Omnivore","Insessorial",15.65,47.34,34.85,-92.41,5834572.06
"24","NOHA","N4D","NOHA",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Northern Harrier","Accipitriformes","Accipitridae","Circus","hudsonius",3079,"Accipitridae","Accipitriformes","AVIBASE-A091D50A",4,2,2,0,4,31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.6,212.9,393,"DataFromSplit",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Aerial",30.02,69.8,52.86,-111.67,12347245.55
"25","OROR","N4D","OROR",18,3,0.166666666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.222222222222222,0.111111111111111,0.032598209539065,3,0,"Recurrent","Orchard Oriole","Passeriformes","Passeriformes","Icterus","spurius",10505,"Icteridae","Passeriformes","AVIBASE-E2014696",16,7,9,0,4,17.2,11.6,4.4,5.3,21.5,77,20.9,56.6,26.9,67,19.4,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Insessorial",19,50.57,36.74,-92.53,4790205.22
"26","RNEP","N4D","RNEP",18,4,0.222222222222222,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.570750388058174,0.333333333333333,0.111111111111111,0.436150906507711,6,0,"Random","Ring-necked Pheasant","Galliformes","Phasianidae","Phasianus","colchicus",329,"Phasianidae","Galliformes","AVIBASE-2FA39DCD",9,3,6,0,4,35.4,22,12.9,11.4,63.3,237.7,61.3,175.8,25.8,449.8,1120.3,"Dunning",NA,"NO",NA,NA,"Human Modified",2,1,"Herbivore","Omnivore","Terrestrial",20.23,53.22,38.76,101.53,7426719.32
"27","RWBL","N4D","RWBL",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Red-winged Blackbird","Passeriformes","Icteridae","Agelaius","phoeniceus",10522,"Icteridae","Passeriformes","AVIBASE-C86D078E",7,2,5,0,6,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Herbivore","Granivore","Generalist",9.66,67.41,44.62,-102.04,13703226.95
"28","UPSA","N4D","UPSA",18,16,0.888888888888889,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.453254704753736,0.777777777777778,1,0.223657644522152,3,0,"Random","Upland Sandpiper","Charadriiformes","Scolopacidae","Bartramia","longicauda",2446,"Scolopacidae","Charadriiformes","AVIBASE-BF1DA86E",5,2,3,0,4,32.9,21.5,3.4,3.8,48.7,159,83.7,74.8,52.9,79.4,158.9,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Terrestrial",35.81,69.33,49.36,-105.81,3282893.45
"29","YBCU","N4D","YBCU",18,7,0.388888888888889,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0.0531161877224303,0.111111111111111,0.666666666666667,0.212515326392464,7,0,"Random","Yellow-billed Cuckoo","Cuculiformes","Cuculidae","Coccyzus","americanus",1653,"Cuculidae","Cuculiformes","AVIBASE-0CF12F81",12,3,7,2,4,29.2,20,7,8.2,24.5,143.4,62.4,82.6,43,146.3,64,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Carnivore","Invertivore","Insessorial",-14.02,48.99,36.04,-90.96,5270361.03
"30","AMCR","N4D","AMCR",18,6,0.333333333333333,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.133614402537715,0.555555555555556,0.111111111111111,0.5,8,0,"Random","American Crow","Passeriformes","Corvidae","Corvus","brachyrhynchos",6985,"Corvidae","Passeriformes","AVIBASE-9E9F2476",13,4,9,0,4,51.1,35.4,14.7,17.7,59.3,309.6,109.1,199.9,35.3,177.3,448.8,"Dunning","NA","NO","NA","NA","Human Modified",2,2,"Omnivore","Omnivore","Terrestrial",24.53,63.75,46.23,-97.42,11573830.54
"31","BCCH","N4D","BCCH",18,10,0.555555555555556,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0.635256295997248,0.444444444444444,0.666666666666667,0.521814424715558,9,0,"Random","Black-capped Chickadee","Passeriformes","Paridae","Poecile","atricapillus",7216,"Paridae","Passeriformes","AVIBASE-B1F0CC82",13,5,7,1,7,10.3,7.2,3.7,4,16.8,64.4,12,52.5,18.6,61.7,10.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Invertivore","Insessorial",34.2,65.98,50.08,-104.99,9078514.18
"32","CONI","N4D","CONI",18,5,0.277777777777778,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.333333333333333,0.222222222222222,0.226104342856839,6,0,"Random","Common Nighthawk","Caprimulgiformes","Caprimulgidae","Chordeiles","minor",1005,"Caprimulgidae","Caprimulgiformes","AVIBASE-24E39ACD",10,4,2,4,4,12.7,6.1,3.3,2.7,16.7,192.8,118.7,76.6,60.7,104,79.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Invertivore","Aerial",7.21,65.4,45.23,-100.42,13037233.58
"33","EABL","N4D","EABL",18,6,0.333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.617075077451974,0.222222222222222,0.444444444444444,0.00293581044679882,3,0,"Recurrent","Eastern Bluebird","Passeriformes","Turdidae","Sialia","sialis",8848,"Turdidae","Passeriformes","AVIBASE-A8347C7D",4,2,2,0,4,15.4,9.1,4.2,4.5,19.7,95.8,31.4,64.4,32.8,62.5,27.5,"Dunning",NA,"NO",NA,NA,"Woodland",2,2,"Carnivore","Invertivore","Insessorial",12.85,53.98,38.51,-89.69,5460000
"34","NOFL","N4D","NOFL",18,3,0.166666666666667,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.205903210732068,0.333333333333333,0,0.17827616888363,4,0,"Random","Northern Flicker","Piciformes","Picidae","Colaptes","auratus",3870,"Picidae","Piciformes","AVIBASE-2B7F2525",14,7,7,0,10,38.4,27.6,8.2,7.9,28.4,151.8,37.5,114.3,24.8,105.3,131.5,"Dunning",NA,"NO",NA,NA,"Shrubland",2,2,"Carnivore","Invertivore","Generalist",19.26,68.71,50.48,-99.78,10804791.76
"35","RBWO","N4D","RBWO",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Red-bellied Woodpecker","Piciformes","Picidae","Melanerpes","carolinus",3937,"Picidae","Piciformes","AVIBASE-078557F2",10,4,6,0,5,32.6,21.6,7.1,7.6,21.1,127.2,35.5,90.4,28.2,76.8,69.5,"Dunning",NA,"NO",NA,NA,"Woodland",1,1,"Omnivore","Omnivore","Insessorial",24.53,46.9,36.96,-88,3074161.82
"36","RHWO","N4D","RHWO",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Red-headed Woodpecker","Piciformes","Picidae","Melanerpes","erythrocephalus",3920,"Picidae","Piciformes","AVIBASE-448D91B7",6,2,3,1,4,27.3,20.3,7.6,7.4,20.6,139.7,40.6,98.9,29.1,83.3,71.6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",25.64,51.7,40.26,-93.26,5461683.2
"37","SOSP","N4D","SOSP",18,1,0.0555555555555556,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.111111111111111,0,0.638163195084119,2,0,"Random","Song Sparrow","Passeriformes","Passerellidae","Melospiza","melodia",10441,"Passerellidae","Passeriformes","AVIBASE-A5F09E05",6,2,3,1,5,13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,"Dunning",NA,"NO",NA,NA,"Shrubland",2,2,"Omnivore","Omnivore","Generalist",18.99,62.57,47.88,-103.48,10313728.38
"38","RLHA","N4D","RLHA",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rough-legged Hawk","Accipitriformes","Accipitridae","Buteo","lagopus",3198,"Accipitridae","Accipitriformes","AVIBASE-90B13ACF",7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Insessorial",47.6,83.11,67.33,2.14,9709846.76
"39","RTHA","N4D","RTHA",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Red-tailed Hawk","Accipitriformes","Accipitridae","Buteo","jamaicensis",3196,"Accipitridae","Accipitriformes","AVIBASE-536A5157",5,2,3,0,4,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Dunning",NA,"NO",NA,NA,"Woodland",2,3,"Carnivore","Vertivore","Insessorial",8.36,68.66,45.5,-105.33,15462822.34
"40","SEOW","N4D","SEOW",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Short-eared Owl","Strigiformes","Strigidae","Asio","flammeus",2875,"Strigidae","Strigiformes","AVIBASE-8F123A11",5,2,2,1,4,27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,322.6,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Aerial",-55.05,74.25,49.62,11.33,39874062.36
"41","SEWR","N4D","SEWR",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Sedge Wren","Passeriformes","Troglodytidae","Cistothorus","stellaris",8608,"Troglodytidae","Passeriformes","AVIBASE-43D33E03",1,0,1,0,0,11.9,7.7,2.3,2.7,16,45,6.1,39.6,13.4,36,9,"DataFromSplit",NA,"YES","Beak Nares; Kipp's Distance; Secondary1; Hand-Wing Index","Cistothorus platensis","Grassland",3,2,"Carnivore","Invertivore","Insessorial",37.7,55.64,45.92,-92.87,1872123
"42","YEWA","N4D","YEWA",18,2,0.111111111111111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.453254704753736,0,0.222222222222222,0.223657644522152,3,0,"Random","Yellow Warbler","Passeriformes","Parulidae","Setophaga","petechia",10612,"Parulidae","Passeriformes","AVIBASE-A6C0C4A9",92,45,24,23,8,11.7,8,3.4,3.2,20,60.2,14.1,45.7,23.6,43.3,10.2,"Dunning",NA,"NO",NA,NA,"Shrubland",1,3,"Carnivore","Invertivore","Insessorial",-3.94,70.64,50.59,-108.69,15552185.22
"43","PISI","N4D","PISI",18,1,0.0555555555555556,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111111111,0,0.638163195084119,2,0,"Random","Pine Siskin","Passeriformes","Fringillidae","Spinus","pinus",10228,"Fringillidae","Passeriformes","AVIBASE-B48335B1",5,2,3,0,4,14,9,4.3,5.5,13.9,72.4,25.6,47,35.2,48.3,12.7,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Granivore","Insessorial",14.9,65.72,49.57,-108.01,7806130.28
"44","COHA","N4D","COHA",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Cooper's Hawk","Accipitriformes","Accipitridae","Accipiter","cooperii",3123,"Accipitridae","Accipitriformes","AVIBASE-EB98812F",5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,"Dunning",NA,"NO",NA,NA,"Woodland",2,3,"Carnivore","Vertivore","Aerial",23.28,53.31,41.25,-100.49,8393137.06
"45","NSHR","N4D","NSHR",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Northern Shrike","Passeriformes","Laniidae","Lanius","borealis",6905,"Laniidae","Passeriformes","AVIBASE-76158864",0,0,0,0,0,23.2,13.9,6.9,9.3,29.4,109.2,28.7,80.4,26.3,106.2,63.4,"DataFromSplit",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Lanius excubitor","Shrubland",3,3,"Carnivore","Vertivore","Insessorial",42.5,70.01,60.4,41.46,11997297.51
"46","BLJA","N4D","BLJA",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Blue Jay","Passeriformes","Corvidae","Cyanocitta","cristata",7025,"Corvidae","Passeriformes","AVIBASE-1DA430B8",11,2,9,0,4,29.9,18.6,10.1,8.9,34.7,130,22.9,108.3,17.4,121.4,88,"Dunning","NA","NO","NA","NA","Woodland",2,1,"Omnivore","Omnivore","Terrestrial",24.53,56.76,43.18,-90.29,6665383.16
